measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.971949891067538,0.8273268398268397,0.7630647334691453,0.7270284351909041,0.7078381184352476,0.6821512654344833,0.6688051535071007,0.6562630405862491,0.6444362408773073,0.6422644875014935"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.8088261479805597,0.6537178127355625,0.5693468995116379,0.5169652797017656,0.4968932747571125,0.48391748102360743,0.47092620011216707,0.4630617630676352,0.4494568887088727,0.44822748084832925"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8218213544614223,0.759433961058448,0.7084110930903381,0.6945471784622425,0.6866581564248009,0.6696899882627574,0.6510654439588197,0.6471424349976507,0.6396664967231155,0.6317025654675371"
