measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9712009803921569,0.8078234401763813,0.7529614440730358,0.7066137276918885,0.6806675914778205,0.6637928702889548,0.6493366435946826,0.6353252010775788,0.607134430599406,0.5829696073838218"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8409168188068443,0.7568694382778547,0.7188632459944176,0.6934148931545907,0.6748390294996347,0.6599700300070984,0.6471293068420002,0.6350376066865041,0.6161639488097622"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8471555448335634,0.7591764881876444,0.7173759961443785,0.6885712323888361,0.6664441624927824,0.6490741732014811,0.6403836883295785,0.6204956993596743,0.5972099760474935,0.582755652019568"
