measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9865196078431373,0.8106807641404497,0.7396133722182598,0.6515972166932188,0.5923189023380717,0.5626668821728377,0.5342036566647591,0.5183761958339279,0.516432999882949,0.514541464035326"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.8811274509803921,0.6731140276449039,0.6000774154044228,0.5255713625343654,0.48136404890292755,0.448134918355467,0.4295313905925905,0.4202431324277146,0.4144754330147544,0.4133574497311276"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8867296918767507,0.7753775208835763,0.7318366023532797,0.6529728522580223,0.5979641967652758,0.5464889018799021,0.497307061832243,0.4580561036771308,0.4372598187335515,0.4313658770643798"
