measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9688375350140056,0.8177649839535086,0.7589806454598842,0.7135998209650929,0.6848734659243029,0.6640667460551729,0.6369402294551307,0.6225727542418928,0.5952168688696073,0.5700402986637343"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.6927343003632613,0.5929057163039015,0.5427554974059633,0.5122930448224488,0.4827544192779527,0.45937888267247057,0.4453719713751635,0.42764114780062074,0.4172282260648175"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8359439988116458,0.7639101997074134,0.7367288376111905,0.7080217306508733,0.6726630057312547,0.6617115046414197,0.6405544616134042,0.6141108874057272,0.5891962005219726,0.5777254007120372"
