measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.994281045751634,0.7749272194604675,0.6644383365066389,0.607224270625429,0.5814897829057903,0.5657888579486353,0.5650323900571783,0.5597870868037347,0.5597903727467534,0.5566680076548126"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8067539390636277,0.6522743151861925,0.5612076153995016,0.5092783484336157,0.49120655244512407,0.4782550630379385,0.47465408439069234,0.4818541731465516,0.48311610639298563"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.951388888888889,0.7831922206821357,0.62376817280358,0.5053438176477688,0.44973053715754896,0.41606335818373974,0.4057236933432586,0.3995968207129063,0.39596066645351946,0.3915211973466161"
