measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9694989106753812,0.8379519989814108,0.7749174923980288,0.7421146553369737,0.7164655629120125,0.69860767361174,0.6824626842844738,0.6623501428466947,0.6472712755566586,0.6359886491757272"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.7955217596545452,0.6530979423419986,0.5801175789932438,0.5127846312709446,0.4860259637372555,0.47687177585844104,0.4565726387051107,0.44781676756128186,0.4411874631760689,0.4398858777116268"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8254683123249299,0.7605726288388827,0.7256737407472701,0.7056029032886618,0.6855452445918336,0.6705894294795581,0.666588667620468,0.6517574224400423,0.6459437175703243,0.638777924306838"
