measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9889705882352942,0.7982539900186959,0.7158622585377298,0.6144148978004353,0.5748518525998314,0.5504595447911296,0.5273828388032458,0.5195697450340244,0.518793523899307,0.5184395475108854"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8154877166185627,0.7274867410484035,0.6607324925779745,0.5965851398167735,0.538733545507682,0.5051832961235043,0.4769223480559745,0.47003357346452185,0.46178901338329276"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8939133986928104,0.7663866160499287,0.7071475090166217,0.614198327697171,0.5571997701456524,0.49472074228393953,0.451270242210135,0.43468886366877557,0.4272337009834088,0.4234060383453194"
