measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9865196078431373,0.8082297837482928,0.739695071564665,0.6527866682400734,0.5859664710146651,0.5576283727366675,0.5345496701072525,0.5191424601338666,0.5169311912622256,0.5157840240725803"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8235721995351388,0.7453405852689908,0.6710867793119132,0.6310017720715203,0.5803707447586717,0.5372880788306098,0.5046702053283767,0.4807359897155257,0.4713557299184585"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8867296918767507,0.7753414770542798,0.7310246767058277,0.6490574412484231,0.5870454557310881,0.5434728814059607,0.49757758431886284,0.4539320713240558,0.43155655637255647,0.42637570990869084"
