measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9893790849673203,0.7628977476771593,0.6598402531369472,0.6028950856224442,0.5709487362821314,0.5465119816616201,0.5443845743237241,0.5366829657700273,0.538059615685734,0.5335892887658304"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9950980392156863,0.7677507494163504,0.6634741312601312,0.5843456118620228,0.5386156497230546,0.4822796901869095,0.46653629207197983,0.46775324642883076,0.46705966102763385,0.4616145411348795"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.9192810457516339,0.7410110853035715,0.6380129936080277,0.5532445349406795,0.48361556770389696,0.4411123891798945,0.42155990321425324,0.4145508425995812,0.4094992486410944,0.4044876099135202"
