measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.971949891067538,0.8222059344737364,0.7635030264619543,0.7297401099477224,0.7059496228135055,0.6787286321661479,0.6596415980767696,0.6461843486295255,0.6375177576151622,0.6287553388231578"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9580882352941176,0.7828549271131451,0.7417868261288987,0.7050037893579151,0.6934101064985851,0.6806479430408805,0.6660617585607491,0.6591261770535337,0.6516883914922593,0.6414588283196703"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8254978250496576,0.7573460979411731,0.7070631083154135,0.695074298058727,0.6830239216410906,0.6673163402697704,0.6551492839715338,0.6468178986189709,0.6379206341559073,0.625877459247031"
