measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9865196078431373,0.8106807641404497,0.7396133722182598,0.6515972166932188,0.5923189023380717,0.5626668821728377,0.5342036566647591,0.5183761958339279,0.516432999882949,0.514541464035326"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.6638462782627442,0.5837085553461164,0.5120581773429119,0.4639657723114124,0.43150677268492377,0.4083794574901915,0.3923044872590074,0.38290394029466407,0.38035468091465313"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8867296918767507,0.7753775208835763,0.7318366023532797,0.6529728522580223,0.5979641967652758,0.5464889018799021,0.497307061832243,0.4580561036771308,0.4372598187335515,0.4313658770643798"
