measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9752178649237473,0.8173561410210017,0.7514940183132403,0.7132222779569953,0.6930282289433586,0.6701946443778828,0.6558359273171075,0.6400384725511017,0.628289128676309,0.620834064212524"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9031356987239341,0.7388415799958153,0.6731382652973508,0.6391126091271935,0.6216894832366758,0.606884685086994,0.5922027070116886,0.5805299619537189,0.5698905181492435,0.5634471759411825"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.823444647219157,0.7706967911689273,0.698449871087198,0.6849007538021379,0.6724033835874044,0.6613451104191386,0.6417875728311689,0.6307502649494697,0.6226595940624712,0.61155926152491"
