measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.994281045751634,0.7749272194604675,0.6644383365066389,0.607224270625429,0.5814897829057903,0.5657888579486353,0.5650323900571783,0.5597870868037347,0.5597903727467534,0.5566680076548126"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9828431372549019,0.7917359406987041,0.643797412145492,0.5267975752025457,0.47884209518500026,0.4485006776546823,0.43769149980756294,0.43293045303670047,0.4279040824647813,0.42739741703371203"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.951388888888889,0.7831922206821357,0.62376817280358,0.5053438176477688,0.44973053715754896,0.41606335818373974,0.4057236933432586,0.3995968207129063,0.39596066645351946,0.3915211973466161"
