measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.991421568627451,0.7777359044317823,0.6697709620191977,0.6068507769396579,0.560926139013436,0.5426865275633653,0.5312882631411698,0.5298425408546154,0.5244227793206615,0.5229208187971522"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9029411764705881,0.6753471468714273,0.5746280198071151,0.5027013786207207,0.4588460828835815,0.43967556413681586,0.41618843423142104,0.40848297407213563,0.407746030420202,0.4022930582518342"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.9054388422035481,0.7600893441311853,0.6456785192782338,0.5845282415723677,0.5169646566081906,0.46229504105341124,0.43535159736114837,0.41997862626316773,0.41504761304301246,0.4146546938384197"
