measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9714052287581699,0.8054914130894523,0.750666598395837,0.7045850560794712,0.6776984273413038,0.6502083707438225,0.6360475193527105,0.5970560427617809,0.574153793344487,0.5450701173061576"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.8473128519084401,0.6761187178853044,0.5891097924264566,0.5340457550027972,0.5039230685952427,0.482027272182975,0.4648707753891705,0.4544333297029013,0.44390524660764996,0.43241191410062585"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8501047427518016,0.7660072362278245,0.7289773465054038,0.6900243188143504,0.6701805216642759,0.6453218391714121,0.6251908233298182,0.5969094857335197,0.5775919636811884,0.5573349157390649"
