measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9752178649237473,0.820529878618114,0.7470474765046564,0.7062233962001764,0.6835280987537627,0.6690325561100584,0.649650194010892,0.6361461862632143,0.6254747918199243,0.6149373249816393"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.831606152562035,0.6652634866387354,0.5755737159974108,0.5385969056096,0.5102585868608053,0.47557258448420964,0.46521559200443363,0.46002743841671545,0.45490129546099123,0.4510795961580555"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8279228237188596,0.7631692419595351,0.703917189809354,0.6830988536005838,0.661293451077302,0.6413664246958648,0.6285055475914709,0.6199633772178939,0.6051034176782504,0.6030575838438605"
