measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9730392156862745,0.8098488657312187,0.7547017218892219,0.7138632070351617,0.6790177113693163,0.6426882438369349,0.6180159986752524,0.5934839166780975,0.5631214447066397,0.5355714829212861"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.7909120971620972,0.6179981380132807,0.5310538816961896,0.48673982677277233,0.4560956876574568,0.44151744213322774,0.4290286909370461,0.41193184117993287,0.404050785358073,0.39604592871801336"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8484221252603605,0.7769868149279915,0.7448913822675433,0.7110897144610103,0.6818513690447939,0.6485082934306154,0.6198473532025024,0.5979341623028163,0.5808715010993176,0.5512845751862558"
