measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9865196078431373,0.8121352707749767,0.7335291205695048,0.6595687507009247,0.5981321230553643,0.5769522212087043,0.5462579491561129,0.5237777399671057,0.5167168389912358,0.5105759031317822"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.8112552344169991,0.6188721714217981,0.5410958037053453,0.4884283623699076,0.4439225682365386,0.4253163013307179,0.40740489966519156,0.39339952495441266,0.3889436228092535,0.38205748122502653"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.873733660130719,0.7758418324594795,0.7185104734395005,0.6629918222291766,0.5996769471619708,0.5553270402095346,0.5221823086203284,0.47333756559742896,0.45652256751759845,0.43804457643327926"
