measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9889705882352942,0.7957960068254185,0.7143519995774935,0.6132486306739606,0.5735971209864889,0.5464048666587423,0.5218830230122267,0.5139860715361834,0.5133476294857428,0.5118496954178512"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.814381700735507,0.7219154033227725,0.6566662775708324,0.5920409047266266,0.5341773866837777,0.5027580902330596,0.4744807096371338,0.46841910611264065,0.4597150427018474"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8947303921568628,0.7673670082067915,0.6927341881327126,0.6138103853687777,0.5591890490264868,0.5012515716824676,0.4578441012666157,0.4329498757712686,0.4267184409835831,0.42087658391566074"
