measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9813725490196078,0.811831559393479,0.7509202736024987,0.6761949116533674,0.6361002468313345,0.6083943957384429,0.5777605334716184,0.5354559018548681,0.5250667298051737,0.5162468764520608"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9918300653594772,0.7897406195679852,0.7270839762738402,0.6756501855276417,0.6390704237227601,0.6118405539138927,0.5798131781795096,0.5390339738370667,0.5201582734798259,0.5057080765129255"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8601034858387799,0.7833653722927079,0.7138449585809158,0.6816592897042725,0.6233770571002292,0.5947161489498396,0.567719865794966,0.5321194280977549,0.48841459696538664,0.46941199958174007"
