measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.991421568627451,0.7777359044317823,0.6697709620191977,0.6068507769396579,0.560926139013436,0.5426865275633653,0.5312882631411698,0.5298425408546154,0.5244227793206615,0.5229208187971522"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.8566993464052288,0.6238972950468838,0.5215432839008033,0.4694372211254905,0.43803175059860194,0.4183363392688082,0.4005089413405026,0.3887807599581267,0.3886848449307903,0.3868768991874602"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.9054388422035481,0.7600893441311853,0.6456785192782338,0.5845282415723677,0.5169646566081906,0.46229504105341124,0.43535159736114837,0.41997862626316773,0.41504761304301246,0.4146546938384197"
