measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9712009803921569,0.8078234401763813,0.7529614440730358,0.7066137276918885,0.6806675914778205,0.6637928702889548,0.6493366435946826,0.6353252010775788,0.607134430599406,0.5829696073838218"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.91345528110234,0.7510018836736766,0.6813341059539963,0.6440109488104387,0.6106601653727374,0.5920488661369966,0.586144888338004,0.5743910957003203,0.5568995581781655,0.5429349338989262"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8471555448335634,0.7591764881876444,0.7173759961443785,0.6885712323888361,0.6664441624927824,0.6490741732014811,0.6403836883295785,0.6204956993596743,0.5972099760474935,0.582755652019568"
