measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9776688453159043,0.811267644312627,0.7485805044628574,0.711755838971421,0.6960771657713244,0.6740327101220871,0.6515272406472121,0.6409880752703402,0.6226398025461429,0.6009601659253573"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9652777777777777,0.8015430107056524,0.7374187835395795,0.7114307934839471,0.6865738056841227,0.6710368219645865,0.6559192350464116,0.638848725024382,0.6155421356564975,0.604206905672528"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8257596978185213,0.7547348484848485,0.7001209166650343,0.6830840663204648,0.6650827365276496,0.6524240548759397,0.633237855797945,0.6191279363287645,0.614433609977289,0.5957761834282128"
