measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.9752178649237473,0.820529878618114,0.7470474765046564,0.7062233962001764,0.6835280987537627,0.6690325561100584,0.649650194010892,0.6361461862632143,0.6254747918199243,0.6149373249816393"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.9096154118212942,0.7541520260539444,0.6939414448779755,0.6515602792196512,0.6261426457544507,0.5968244704491041,0.5861482319721764,0.5725442526963316,0.5668054875434017,0.5521880640683733"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.8279228237188596,0.7631692419595351,0.703917189809354,0.6830988536005838,0.661293451077302,0.6413664246958648,0.6285055475914709,0.6199633772178939,0.6051034176782504,0.6030575838438605"
