dataset;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Pisa (Users [4, 6]);MSMClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
San Francisco cab (Airport <-> Mall);MSMClassifierTest;cross-validation;0.4526684636118598;0.9295238095238094;0.2;0.15722543352601157;0.8;0.2;0.07047619047619048
Pisa (Users [2, 3]);MSMClassifierTest;cross-validation;0.6133333333333333;1.0;0.0;0.0;1.0;0.0;0.0
Patel's Vehicle_urban;MSMClassifierTest;cross-validation;0.35250632911392404;1.0;0.0;0.0;1.0;0.0;0.0
New York bus(lines=2);MSMClassifierTest;cross-validation;0.45793018983466016;0.8985507246376813;0.2;0.13203883495145632;0.8;0.2;0.10144927536231885
Dublin bus(lines=2);MSMClassifierTest;cross-validation;0.9028224055579679;0.9029960920538429;1.0;0.9487378695793843;0.0;1.0;0.09700390794615718
Pisa (Users [2, 3]);MSMClassifierTest;holdout;0.2;1.0;0.0;0.0;1.0;0.0;0.0
Patel's Vehicle_urban;MSMClassifierTest;holdout;0.328;0.328;1.0;0.4939759036144578;0.0;1.0;0.672
New York bus(lines=2);MSMClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
Dublin bus(lines=2);MSMClassifierTest;holdout;0.9102564102564102;0.9102564102564102;1.0;0.953020134228188;0.0;1.0;0.08974358974358974
Pisa (Users [4, 6]);MSMClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
San Francisco cab (Airport <-> Mall);MSMClassifierTest;holdout;0.6551724137931034;0.6551724137931034;1.0;0.7916666666666666;0.0;1.0;0.3448275862068966
