dataset;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;cross-validation;0.05714285714285714;0.0;0.0;0.0;0.6447619047619048;0.35523809523809524;1.0
Pisa (Users [4, 6]);DTWaClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;holdout;0.5;0.0;0.0;0.0;0.9;0.09999999999999998;1.0
Pisa (Users [2, 3]);SWALEClassifierTest;cross-validation;0.3466666666666667;0.4133333333333333;0.6;0.4742857142857143;0.0;1.0;0.5866666666666667
New York bus(lines=2);LCSSClassifierTest;cross-validation;0.945417432129006;0.9506706482518353;0.9663248448953119;0.9562641499294109;0.9290982592195363;0.07090174078046367;0.04932935174816474
Dublin bus(lines=2);DTWClassifierTest;cross-validation;0.9111593573599652;0.904718483137936;0.9804878048780488;0.9406874862277961;0.03333333333333333;0.9666666666666668;0.09528151686206396
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;holdout;0.0;0.0;0.0;0.0;0.9;0.09999999999999998;1.0
Pisa (Users [4, 6]);DTWClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Dublin bus(lines=2);MSMMoveDistanceClassifierTest;cross-validation;0.9916630481980026;0.9909043927648579;0.9953488372093023;0.9931016461980663;0.9099999999999999;0.09;0.00909560723514212
New York bus(lines=2);MSMMoveDistanceClassifierTest;cross-validation;0.9886507450500102;0.9894736842105264;0.9843644155664617;0.9868171231753321;0.9882352941176471;0.011764705882352944;0.010526315789473684
Pisa (Users [4, 6]);EDRClassifierTest;cross-validation;0.5333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Patel's Vehicle_urban;DTWaClassifierTest;holdout;0.336;0.33064516129032256;1.0;0.49696969696969695;0.011904761904761904;0.9880952380952381;0.6693548387096774
Pisa (Users [2, 3]);LiuSchneiderClassifierTest;holdout;0.4;0.6666666666666666;0.5;0.5714285714285715;0.0;1.0;0.3333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;cross-validation;0.13714285714285715;0.0;0.0;0.0;0.5828571428571429;0.41714285714285715;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;cross-validation;0.9333333333333333;1.0;1.0;1.0;0.6;0.0;0.0
San Francisco cab (Airport <-> Mall);MSMMovePointsClassifierTest;cross-validation;0.714806828391734;0.7960032416722558;0.7583371065193412;0.7746583818903728;0.6727203583557884;0.3272796416442116;0.20399675832774428
Pisa (Users [2, 3]);HCSSClassifierTest;cross-validation;0.5733333333333334;0.4666666666666667;0.6;0.47333333333333333;0.26666666666666666;0.7333333333333334;0.5333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;holdout;0.0;0.0;0.0;0.0;0.7;0.30000000000000004;1.0
Patel's Vehicle_urban;MSMMoveAngleClassifierTest;cross-validation;0.984;0.9521872863978128;0.9913043478260869;0.9707515126119777;0.9817243059756671;0.018275694024332868;0.047812713602187286
Dublin bus(lines=2);MSMMoveAngleClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
New York bus(lines=2);MSMClassifierTest;cross-validation;0.45793018983466016;0.8985507246376813;0.2;0.13203883495145632;0.8;0.2;0.10144927536231885
Pisa (Users [2, 3]);SWALEClassifierTest;holdout;0.4;1.0;0.25;0.4;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;holdout;0.5862068965517241;0.6810344827586207;0.6929824561403509;0.6869565217391305;0.38333333333333336;0.6166666666666667;0.31896551724137934
New York bus(lines=2);LiuSchneiderClassifierTest;cross-validation;0.5187997550520513;0.896875;0.19376114081996437;0.1392636229749632;0.8166666666666668;0.18333333333333332;0.103125
San Francisco cab (Airport <-> Mall);SWALEClassifierTest;cross-validation;0.6216711590296496;0.6371202889104532;0.6947731341326027;0.6621501066197371;0.34573064720689883;0.6542693527931011;0.36287971108954675
Patel's Vehicle_urban;MSTPClassifierTest;holdout;0.328;0.328;1.0;0.4939759036144578;0.0;1.0;0.672
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;cross-validation;0.9333333333333333;1.0;1.0;1.0;0.6;0.0;0.0
Pisa (Users [2, 3]);MSMMoveDistanceClassifierTest;cross-validation;0.3466666666666667;0.7;0.2;0.13333333333333333;0.7;0.3;0.3
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;holdout;0.25;0.0;0.0;0.0;0.8;0.19999999999999996;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;cross-validation;0.8666666666666666;1.0;0.9;0.9333333333333333;0.6;0.0;0.0
Dublin bus(lines=2);LCSSClassifierTest;cross-validation;0.9874077290490664;0.9861522198731502;1.0;0.9929392446633827;0.8833333333333332;0.11666666666666667;0.013847780126849896
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;cross-validation;1.0;1.0;1.0;1.0;0.6;0.0;0.0
Dublin bus(lines=2);MSMClassifierTest;cross-validation;0.9028224055579679;0.9029960920538429;1.0;0.9487378695793843;0.0;1.0;0.09700390794615718
San Francisco cab (Airport <-> Mall);EDRClassifierTest;holdout;0.6839080459770115;0.7657657657657657;0.7456140350877193;0.7555555555555554;0.5666666666666667;0.43333333333333335;0.23423423423423423
Pisa (Users [4, 6]);wDFClassifierTest;cross-validation;0.13333333333333333;0.5;0.9;0.5;0.0;0.6;0.5
Pisa (Users [2, 3]);EDRClassifierTest;holdout;0.2;0.5;0.25;0.3333333333333333;0.0;1.0;0.5
Dublin bus(lines=2);SWALEClassifierTest;holdout;0.8974358974358975;0.92;0.971830985915493;0.9452054794520549;0.14285714285714285;0.8571428571428572;0.08
New York bus(lines=2);MSMMoveEllipsesClassifierTest;cross-validation;0.9914676464584609;0.9947368421052631;0.9882352941176471;0.9912727272727272;0.9941176470588236;0.005882352941176472;0.005263157894736842
New York bus(lines=2);DTWClassifierTest;holdout;0.5478260869565217;0.5535714285714286;0.96875;0.7045454545454546;0.0196078431372549;0.9803921568627451;0.44642857142857145
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;holdout;0.5;0.0;0.0;0.0;0.9;0.09999999999999998;1.0
Pisa (Users [2, 3]);DTWaClassifierTest;cross-validation;0.6133333333333333;1.0;0.0;0.0;1.0;0.0;0.0
New York bus(lines=2);MSMClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;holdout;0.25;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Patel's Vehicle_urban;MSTPClassifierTest;cross-validation;0.36037130801687767;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;holdout;0.3333333333333333;1.0;0.0;0.0;1.0;0.0;0.0
Patel's Vehicle_urban;MSMMovePointsClassifierTest;cross-validation;0.9813333333333334;0.9627136021872864;0.9913043478260869;0.9761569180173831;0.9852330779054916;0.014766922094508295;0.037286397812713604
Dublin bus(lines=2);DTWaClassifierTest;holdout;0.9615384615384616;0.9594594594594594;1.0;0.9793103448275862;0.5714285714285714;0.4285714285714286;0.04054054054054054
New York bus(lines=2);CVTIClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Patel's Vehicle_urban;EDRClassifierTest;cross-validation;0.9761350210970464;0.9568888888888889;0.9619737750172532;0.9586933797909408;0.9822660098522167;0.017733990147783252;0.043111111111111114
San Francisco cab (Airport <-> Mall);wDFClassifierTest;holdout;0.7873563218390804;0.8347826086956521;0.8421052631578947;0.8384279475982531;0.6833333333333333;0.31666666666666665;0.16521739130434782
San Francisco cab (Airport <-> Mall);wDFClassifierTest;cross-validation;0.8040970350404312;0.844291495807183;0.8371360196851665;0.8396126101207418;0.7395225263774685;0.2604774736225314;0.15570850419281707
Patel's Vehicle_urban;EDRClassifierTest;holdout;0.96;0.95;0.926829268292683;0.9382716049382716;0.9761904761904762;0.023809523809523836;0.05
San Francisco cab (Airport <-> Mall);ERPClassifierTest;holdout;0.5862068965517241;0.6438356164383562;0.8245614035087719;0.7230769230769231;0.13333333333333333;0.8666666666666667;0.3561643835616438
Patel's Vehicle_urban;LCSSClassifierTest;cross-validation;0.9814683544303799;0.9717460317460317;0.9722567287784679;0.9715707598634428;0.9886813537675607;0.011318646232439344;0.028253968253968254
Dublin bus(lines=2);LiuSchneiderClassifierTest;holdout;0.9102564102564102;0.9102564102564102;1.0;0.953020134228188;0.0;1.0;0.08974358974358974
San Francisco cab (Airport <-> Mall);EDRClassifierTest;cross-validation;0.6958131176999102;0.7150033540252049;0.7590421099303797;0.7342462970045366;0.4955289178780835;0.5044710821219165;0.28499664597479507
