dataset;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
"Pisa ";HCSSClassifierTest;cross-validation;0.5599999999999999;0.7728571428571429;0.5295238095238095;0.5361904761904761;0.6166666666666667;0.38333333333333336;0.22714285714285715
"Pisa ";EDRClassifierTest;cross-validation;0.7514285714285713;1.0;0.6114285714285714;0.7446153846153846;1.0;0.0;0.0
"Pisa ";MSMMoveAngleClassifierTest;holdout;0.6666666666666666;0.875;0.875;0.875;0.75;0.25;0.125
"Pisa ";MSMMovePointsClassifierTest;cross-validation;0.8171428571428571;0.8142857142857143;0.9199999999999999;0.8560439560439559;0.45;0.55;0.18571428571428572
"Pisa ";MSMMoveAngleClassifierTest;cross-validation;0.8171428571428571;0.8428571428571429;0.9199999999999999;0.8714285714285713;0.65;0.35;0.15714285714285714
"Pisa ";MSTPClassifierTest;holdout;0.6666666666666666;0.6666666666666666;1.0;0.8;0.0;1.0;0.3333333333333333
"Pisa ";wDFClassifierTest;cross-validation;0.6828571428571429;0.7255555555555555;0.8133333333333332;0.7471212121212121;0.31666666666666665;0.6833333333333333;0.27444444444444444
"Pisa ";SWALEClassifierTest;holdout;0.5;0.75;0.75;0.75;0.5;0.5;0.25
"Pisa ";wDFClassifierTest;holdout;0.5833333333333334;0.6363636363636364;0.875;0.7368421052631579;0.0;1.0;0.36363636363636365
"Pisa ";MSMMoveEllipsesClassifierTest;cross-validation;0.8457142857142858;0.8528571428571429;0.96;0.8980952380952381;0.65;0.35;0.14714285714285716
"Pisa ";DTWaClassifierTest;cross-validation;0.6828571428571429;0.74;0.8;0.6359879336349923;0.2;0.8;0.25999999999999995
"Pisa ";LiuSchneiderClassifierTest;holdout;0.5833333333333334;0.7142857142857143;0.625;0.6666666666666666;0.5;0.5;0.2857142857142857
"Pisa ";ERPClassifierTest;holdout;0.6666666666666666;0.6666666666666666;1.0;0.8;0.0;1.0;0.3333333333333333
"Pisa ";LCSSClassifierTest;holdout;0.75;0.8;1.0;0.888888888888889;0.5;0.5;0.2
"Pisa ";HCSSClassifierTest;holdout;0.4166666666666667;0.6666666666666666;0.5;0.5714285714285715;0.5;0.5;0.3333333333333333
"Pisa ";SWALEClassifierTest;cross-validation;0.6057142857142856;0.7233333333333334;0.519047619047619;0.5404761904761904;0.5666666666666667;0.4333333333333334;0.27666666666666667
"Pisa ";LCSSClassifierTest;cross-validation;0.6542857142857142;0.7166666666666668;0.7914285714285716;0.7466666666666668;0.31666666666666665;0.6833333333333333;0.2833333333333333
"Pisa ";MSTPClassifierTest;cross-validation;0.6828571428571429;0.74;0.8;0.6359879336349923;0.2;0.8;0.25999999999999995
"Pisa ";MSMMovePointsClassifierTest;holdout;0.6666666666666666;0.875;0.875;0.875;0.75;0.25;0.125
"Pisa ";DTWaClassifierTest;holdout;0.6666666666666666;0.6666666666666666;1.0;0.8;0.0;1.0;0.3333333333333333
"Pisa ";DTWClassifierTest;holdout;0.6666666666666666;0.6666666666666666;1.0;0.8;0.0;1.0;0.3333333333333333
"Pisa ";MSMClassifierTest;holdout;0.6666666666666666;0.6666666666666666;1.0;0.8;0.0;1.0;0.3333333333333333
"Pisa ";MSMMoveDistanceClassifierTest;holdout;0.6666666666666666;0.875;0.875;0.875;0.75;0.25;0.125
"Pisa ";MSMClassifierTest;cross-validation;0.6828571428571429;0.74;0.8;0.6359879336349923;0.2;0.8;0.25999999999999995
"Pisa ";MSMMoveDistanceClassifierTest;cross-validation;0.8457142857142858;0.8528571428571429;0.96;0.8980952380952381;0.65;0.35;0.14714285714285716
"Pisa ";DTWClassifierTest;cross-validation;0.6828571428571429;0.74;0.8;0.6359879336349923;0.2;0.8;0.25999999999999995
"Pisa ";EDRClassifierTest;holdout;0.5833333333333334;1.0;0.5;0.6666666666666666;1.0;0.0;0.0
"Pisa ";CVTIClassifierTest;holdout;0.6666666666666666;0.6666666666666666;1.0;0.8;0.0;1.0;0.3333333333333333
"Pisa ";MSMMoveEllipsesClassifierTest;holdout;0.6666666666666666;0.875;0.875;0.875;0.75;0.25;0.125
"Pisa ";ERPClassifierTest;cross-validation;0.6828571428571429;0.74;0.8;0.6359879336349923;0.2;0.8;0.25999999999999995
"Pisa ";CVTIClassifierTest;cross-validation;0.6828571428571429;0.74;0.8;0.6359879336349923;0.2;0.8;0.25999999999999995
"Pisa ";LiuSchneiderClassifierTest;cross-validation;0.4228571428571429;0.8266666666666668;0.4742857142857143;0.5164102564102564;0.7166666666666667;0.2833333333333333;0.17333333333333334
