dataset;measure;classification-measure;test-type;value
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [4, 6]);MSMClassifierTest;accuracy;holdout;0.0
Pisa (Users [4, 6]);MSMClassifierTest;accuracy;cross-validation;0.3333333333333333
Pisa (Users [4, 6]);MSMClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);MSMClassifierTest;recall;holdout;0.0
Pisa (Users [4, 6]);MSMClassifierTest;f-measure;holdout;0.0
Pisa (Users [4, 6]);MSMClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);MSMClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);MSMClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);MSMClassifierTest;precision;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);MSMClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);MSMClassifierTest;f-measure;cross-validation;0.5599999999999999
Pisa (Users [4, 6]);MSMClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);MSMClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);MSMClassifierTest;false-discovery-rate;cross-validation;0.4666666666666667
Pisa (Users [4, 6]);DTWClassifierTest;accuracy;holdout;0.0
Pisa (Users [4, 6]);DTWClassifierTest;accuracy;cross-validation;0.3333333333333333
Pisa (Users [4, 6]);DTWClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);DTWClassifierTest;recall;holdout;0.0
Pisa (Users [4, 6]);DTWClassifierTest;f-measure;holdout;0.0
Pisa (Users [4, 6]);DTWClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);DTWClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);DTWClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);DTWClassifierTest;precision;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);DTWClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);DTWClassifierTest;f-measure;cross-validation;0.5599999999999999
Pisa (Users [4, 6]);DTWClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);DTWClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);DTWClassifierTest;false-discovery-rate;cross-validation;0.4666666666666667
Pisa (Users [4, 6]);EDRClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);EDRClassifierTest;accuracy;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);EDRClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);EDRClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);EDRClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);EDRClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);EDRClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);EDRClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);EDRClassifierTest;precision;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);EDRClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);EDRClassifierTest;f-measure;cross-validation;0.5599999999999999
Pisa (Users [4, 6]);EDRClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);EDRClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);EDRClassifierTest;false-discovery-rate;cross-validation;0.4666666666666667
Pisa (Users [4, 6]);ERPClassifierTest;accuracy;holdout;0.0
Pisa (Users [4, 6]);ERPClassifierTest;accuracy;cross-validation;0.3333333333333333
Pisa (Users [4, 6]);ERPClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);ERPClassifierTest;recall;holdout;0.0
Pisa (Users [4, 6]);ERPClassifierTest;f-measure;holdout;0.0
Pisa (Users [4, 6]);ERPClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);ERPClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);ERPClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);ERPClassifierTest;precision;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);ERPClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);ERPClassifierTest;f-measure;cross-validation;0.5599999999999999
Pisa (Users [4, 6]);ERPClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);ERPClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);ERPClassifierTest;false-discovery-rate;cross-validation;0.4666666666666667
Pisa (Users [4, 6]);LCSSClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;accuracy;cross-validation;0.8666666666666666
Pisa (Users [4, 6]);LCSSClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);LCSSClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);LCSSClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);LCSSClassifierTest;precision;cross-validation;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;f-measure;cross-validation;1.0
Pisa (Users [4, 6]);LCSSClassifierTest;specificity;cross-validation;0.6
Pisa (Users [4, 6]);LCSSClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [4, 6]);LCSSClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;accuracy;holdout;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;accuracy;cross-validation;0.3333333333333333
Pisa (Users [4, 6]);MSTPClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);MSTPClassifierTest;recall;holdout;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;f-measure;holdout;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;precision;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);MSTPClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);MSTPClassifierTest;f-measure;cross-validation;0.5599999999999999
Pisa (Users [4, 6]);MSTPClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);MSTPClassifierTest;false-discovery-rate;cross-validation;0.4666666666666667
Pisa (Users [4, 6]);HCSSClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);HCSSClassifierTest;accuracy;cross-validation;0.8666666666666666
Pisa (Users [4, 6]);HCSSClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);HCSSClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);HCSSClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);HCSSClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);HCSSClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);HCSSClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);HCSSClassifierTest;precision;cross-validation;1.0
Pisa (Users [4, 6]);HCSSClassifierTest;recall;cross-validation;0.9
Pisa (Users [4, 6]);HCSSClassifierTest;f-measure;cross-validation;0.9333333333333333
Pisa (Users [4, 6]);HCSSClassifierTest;specificity;cross-validation;0.6
Pisa (Users [4, 6]);HCSSClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [4, 6]);HCSSClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;accuracy;holdout;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;accuracy;cross-validation;0.3333333333333333
Pisa (Users [4, 6]);CVTIClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);CVTIClassifierTest;recall;holdout;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;f-measure;holdout;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;precision;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);CVTIClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);CVTIClassifierTest;f-measure;cross-validation;0.5599999999999999
Pisa (Users [4, 6]);CVTIClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);CVTIClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);CVTIClassifierTest;false-discovery-rate;cross-validation;0.4666666666666667
Pisa (Users [4, 6]);wDFClassifierTest;accuracy;holdout;0.0
Pisa (Users [4, 6]);wDFClassifierTest;accuracy;cross-validation;0.13333333333333333
Pisa (Users [4, 6]);wDFClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);wDFClassifierTest;recall;holdout;0.0
Pisa (Users [4, 6]);wDFClassifierTest;f-measure;holdout;0.0
Pisa (Users [4, 6]);wDFClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);wDFClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);wDFClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);wDFClassifierTest;precision;cross-validation;0.5
Pisa (Users [4, 6]);wDFClassifierTest;recall;cross-validation;0.9
Pisa (Users [4, 6]);wDFClassifierTest;f-measure;cross-validation;0.5
Pisa (Users [4, 6]);wDFClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);wDFClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);wDFClassifierTest;false-discovery-rate;cross-validation;0.5
Pisa (Users [4, 6]);SWALEClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);SWALEClassifierTest;accuracy;cross-validation;0.4
Pisa (Users [4, 6]);SWALEClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);SWALEClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);SWALEClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);SWALEClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);SWALEClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);SWALEClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);SWALEClassifierTest;precision;cross-validation;0.5
Pisa (Users [4, 6]);SWALEClassifierTest;recall;cross-validation;0.7
Pisa (Users [4, 6]);SWALEClassifierTest;f-measure;cross-validation;0.3
Pisa (Users [4, 6]);SWALEClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);SWALEClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);SWALEClassifierTest;false-discovery-rate;cross-validation;0.5
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;accuracy;cross-validation;0.6
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;precision;cross-validation;0.6
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;f-measure;cross-validation;0.6
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;specificity;cross-validation;0.2
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;fall-out;cross-validation;0.4
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;false-discovery-rate;cross-validation;0.4
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;accuracy;cross-validation;0.9333333333333333
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;precision;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;f-measure;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;specificity;cross-validation;0.6
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;accuracy;cross-validation;0.9333333333333333
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;precision;cross-validation;1.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;f-measure;cross-validation;1.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;specificity;cross-validation;0.6
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;accuracy;holdout;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;accuracy;cross-validation;0.3333333333333333
Pisa (Users [4, 6]);DTWaClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);DTWaClassifierTest;recall;holdout;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;f-measure;holdout;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;precision;cross-validation;0.5333333333333333
Pisa (Users [4, 6]);DTWaClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);DTWaClassifierTest;f-measure;cross-validation;0.5599999999999999
Pisa (Users [4, 6]);DTWaClassifierTest;specificity;cross-validation;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;fall-out;cross-validation;0.6
Pisa (Users [4, 6]);DTWaClassifierTest;false-discovery-rate;cross-validation;0.4666666666666667
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;accuracy;holdout;0.7298850574712644
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;accuracy;cross-validation;0.7091284815813117
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;precision;holdout;0.8130841121495327
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;recall;holdout;0.7631578947368421
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;f-measure;holdout;0.7873303167420815
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;specificity;holdout;0.6666666666666666
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;fall-out;holdout;0.33333333333333337
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;false-discovery-rate;holdout;0.18691588785046728
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;precision;cross-validation;0.7735321490139137
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;recall;cross-validation;0.7399044615599946
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;f-measure;cross-validation;0.7548446685877537
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;specificity;cross-validation;0.6355284167350919
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;fall-out;cross-validation;0.36447158326490803
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;false-discovery-rate;cross-validation;0.22646785098608638
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;accuracy;holdout;0.6954022988505747
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;accuracy;cross-validation;0.7148607367475293
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;precision;holdout;0.7850467289719626
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;recall;holdout;0.7368421052631579
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;f-measure;holdout;0.7601809954751131
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;specificity;holdout;0.6166666666666667
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;fall-out;holdout;0.3833333333333333
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;false-discovery-rate;holdout;0.21495327102803738
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;precision;cross-validation;0.7699389613288867
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;recall;cross-validation;0.7699664475184573
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;f-measure;cross-validation;0.769102094738736
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;specificity;cross-validation;0.6155352785391297
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;fall-out;cross-validation;0.38446472146087035
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;false-discovery-rate;cross-validation;0.23006103867111333
San Francisco cab (Airport <-> Mall);MSMClassifierTest;accuracy;holdout;0.6551724137931034
San Francisco cab (Airport <-> Mall);MSMClassifierTest;accuracy;cross-validation;0.4526684636118598
San Francisco cab (Airport <-> Mall);MSMClassifierTest;precision;holdout;0.6551724137931034
San Francisco cab (Airport <-> Mall);MSMClassifierTest;recall;holdout;1.0
San Francisco cab (Airport <-> Mall);MSMClassifierTest;f-measure;holdout;0.7916666666666666
San Francisco cab (Airport <-> Mall);MSMClassifierTest;specificity;holdout;0.0
San Francisco cab (Airport <-> Mall);MSMClassifierTest;fall-out;holdout;1.0
San Francisco cab (Airport <-> Mall);MSMClassifierTest;false-discovery-rate;holdout;0.3448275862068966
San Francisco cab (Airport <-> Mall);MSMClassifierTest;precision;cross-validation;0.9295238095238094
San Francisco cab (Airport <-> Mall);MSMClassifierTest;recall;cross-validation;0.2
San Francisco cab (Airport <-> Mall);MSMClassifierTest;f-measure;cross-validation;0.15722543352601157
San Francisco cab (Airport <-> Mall);MSMClassifierTest;specificity;cross-validation;0.8
San Francisco cab (Airport <-> Mall);MSMClassifierTest;fall-out;cross-validation;0.2
San Francisco cab (Airport <-> Mall);MSMClassifierTest;false-discovery-rate;cross-validation;0.07047619047619048
San Francisco cab (Airport <-> Mall);DTWClassifierTest;accuracy;holdout;0.5689655172413793
San Francisco cab (Airport <-> Mall);DTWClassifierTest;accuracy;cross-validation;0.6369272237196765
San Francisco cab (Airport <-> Mall);DTWClassifierTest;precision;holdout;0.6511627906976745
San Francisco cab (Airport <-> Mall);DTWClassifierTest;recall;holdout;0.7368421052631579
San Francisco cab (Airport <-> Mall);DTWClassifierTest;f-measure;holdout;0.6913580246913581
San Francisco cab (Airport <-> Mall);DTWClassifierTest;specificity;holdout;0.25
San Francisco cab (Airport <-> Mall);DTWClassifierTest;fall-out;holdout;0.75
San Francisco cab (Airport <-> Mall);DTWClassifierTest;false-discovery-rate;holdout;0.3488372093023256
San Francisco cab (Airport <-> Mall);DTWClassifierTest;precision;cross-validation;0.6646476303753298
San Francisco cab (Airport <-> Mall);DTWClassifierTest;recall;cross-validation;0.7533300250664835
San Francisco cab (Airport <-> Mall);DTWClassifierTest;f-measure;cross-validation;0.7045814324342642
San Francisco cab (Airport <-> Mall);DTWClassifierTest;specificity;cross-validation;0.36538185168480414
San Francisco cab (Airport <-> Mall);DTWClassifierTest;fall-out;cross-validation;0.6346181483151957
San Francisco cab (Airport <-> Mall);DTWClassifierTest;false-discovery-rate;cross-validation;0.3353523696246701
San Francisco cab (Airport <-> Mall);EDRClassifierTest;accuracy;holdout;0.6724137931034483
San Francisco cab (Airport <-> Mall);EDRClassifierTest;accuracy;cross-validation;0.686325247079964
San Francisco cab (Airport <-> Mall);EDRClassifierTest;precision;holdout;0.7435897435897436
San Francisco cab (Airport <-> Mall);EDRClassifierTest;recall;holdout;0.7631578947368421
San Francisco cab (Airport <-> Mall);EDRClassifierTest;f-measure;holdout;0.7532467532467534
San Francisco cab (Airport <-> Mall);EDRClassifierTest;specificity;holdout;0.5
San Francisco cab (Airport <-> Mall);EDRClassifierTest;fall-out;holdout;0.5
San Francisco cab (Airport <-> Mall);EDRClassifierTest;false-discovery-rate;holdout;0.2564102564102564
San Francisco cab (Airport <-> Mall);EDRClassifierTest;precision;cross-validation;0.7078498765256821
San Francisco cab (Airport <-> Mall);EDRClassifierTest;recall;cross-validation;0.7947996687818042
San Francisco cab (Airport <-> Mall);EDRClassifierTest;f-measure;cross-validation;0.7474322995162479
San Francisco cab (Airport <-> Mall);EDRClassifierTest;specificity;cross-validation;0.45110236038349
San Francisco cab (Airport <-> Mall);EDRClassifierTest;fall-out;cross-validation;0.54889763961651
San Francisco cab (Airport <-> Mall);EDRClassifierTest;false-discovery-rate;cross-validation;0.29215012347431796
San Francisco cab (Airport <-> Mall);ERPClassifierTest;accuracy;holdout;0.5862068965517241
San Francisco cab (Airport <-> Mall);ERPClassifierTest;accuracy;cross-validation;0.6253728661275831
San Francisco cab (Airport <-> Mall);ERPClassifierTest;precision;holdout;0.6438356164383562
San Francisco cab (Airport <-> Mall);ERPClassifierTest;recall;holdout;0.8245614035087719
San Francisco cab (Airport <-> Mall);ERPClassifierTest;f-measure;holdout;0.7230769230769231
San Francisco cab (Airport <-> Mall);ERPClassifierTest;specificity;holdout;0.13333333333333333
San Francisco cab (Airport <-> Mall);ERPClassifierTest;fall-out;holdout;0.8666666666666667
San Francisco cab (Airport <-> Mall);ERPClassifierTest;false-discovery-rate;holdout;0.3561643835616438
San Francisco cab (Airport <-> Mall);ERPClassifierTest;precision;cross-validation;0.6598332194121668
San Francisco cab (Airport <-> Mall);ERPClassifierTest;recall;cross-validation;0.7607488722040007
San Francisco cab (Airport <-> Mall);ERPClassifierTest;f-measure;cross-validation;0.7060955795425433
San Francisco cab (Airport <-> Mall);ERPClassifierTest;specificity;cross-validation;0.3450620839067566
San Francisco cab (Airport <-> Mall);ERPClassifierTest;fall-out;cross-validation;0.6549379160932434
San Francisco cab (Airport <-> Mall);ERPClassifierTest;false-discovery-rate;cross-validation;0.3401667805878332
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;accuracy;holdout;0.5862068965517241
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;accuracy;cross-validation;0.6100269541778975
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;precision;holdout;0.6779661016949152
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;recall;holdout;0.7017543859649122
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;f-measure;holdout;0.689655172413793
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;specificity;holdout;0.36666666666666664
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;fall-out;holdout;0.6333333333333333
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;false-discovery-rate;holdout;0.3220338983050847
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;precision;cross-validation;0.6494242424242425
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;recall;cross-validation;0.7330869653307337
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;f-measure;cross-validation;0.6871929356662093
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;specificity;cross-validation;0.33988373482596845
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;fall-out;cross-validation;0.6601162651740315
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;false-discovery-rate;cross-validation;0.3505757575757576
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;accuracy;holdout;0.6551724137931034
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;accuracy;cross-validation;0.4526684636118598
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;precision;holdout;0.6551724137931034
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;recall;holdout;1.0
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;f-measure;holdout;0.7916666666666666
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;specificity;holdout;0.0
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;fall-out;holdout;1.0
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;false-discovery-rate;holdout;0.3448275862068966
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;precision;cross-validation;0.9295238095238094
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;recall;cross-validation;0.2
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;f-measure;cross-validation;0.15722543352601157
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;specificity;cross-validation;0.8
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;fall-out;cross-validation;0.2
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;false-discovery-rate;cross-validation;0.07047619047619048
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;accuracy;holdout;0.6149425287356322
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;accuracy;cross-validation;0.5702246181491464
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;precision;holdout;0.6821705426356589
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;recall;holdout;0.7719298245614035
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;f-measure;holdout;0.7242798353909464
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;specificity;holdout;0.31666666666666665
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;fall-out;holdout;0.6833333333333333
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;false-discovery-rate;holdout;0.3178294573643411
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;precision;cross-validation;0.6173788724910605
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;recall;cross-validation;0.7324861135988365
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;f-measure;cross-validation;0.6690923884561989
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;specificity;cross-validation;0.2386956018920076
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;fall-out;cross-validation;0.7613043981079926
