dataset;measure;classification-measure;test-type;value
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;fall-out;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;precision;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;recall;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;f-measure;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;specificity;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;accuracy;holdout;0.08333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;accuracy;cross-validation;0.05714285714285714
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;specificity;holdout;0.9
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;fall-out;holdout;0.09999999999999998
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;false-discovery-rate;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;precision;cross-validation;0.06666666666666667
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;recall;cross-validation;0.1
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;f-measure;cross-validation;0.08
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;specificity;cross-validation;0.6495238095238095
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;fall-out;cross-validation;0.3504761904761905
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;false-discovery-rate;cross-validation;0.9333333333333332
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;accuracy;holdout;0.25
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;accuracy;cross-validation;0.18285714285714283
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;precision;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;specificity;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;fall-out;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;precision;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;recall;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;f-measure;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;specificity;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;accuracy;holdout;0.25
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;accuracy;cross-validation;0.15428571428571428
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;specificity;holdout;0.6
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;fall-out;holdout;0.4
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;false-discovery-rate;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;precision;cross-validation;0.05
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;recall;cross-validation;0.2
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;f-measure;cross-validation;0.08
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;specificity;cross-validation;0.6561904761904762
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;fall-out;cross-validation;0.34380952380952373
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;false-discovery-rate;cross-validation;0.95
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;accuracy;holdout;0.25
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;accuracy;cross-validation;0.18285714285714283
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;precision;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;specificity;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;fall-out;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;precision;cross-validation;1.0
