dataset;stop-semantic;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Geolife University;STOP_REGION;DTWaClassifierTest;cross-validation;0.9356680624286259;0.9475600661207858;0.9775925925925927;0.9617798221803229;0.9700081676857473;0.029991832314252842;0.05243993387921424
Geolife University;STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;cross-validation;0.7507803578226113;0.8724570193535712;0.9695925925925927;0.9156750700280114;0.9246390650030459;0.07536093499695404;0.1275429806464289
Geolife University;STOP_REGION;H_MSM_StopMove_AngleClassifierTest;holdout;0.7288135593220338;0.8367346938775511;0.9111111111111111;0.8723404255319148;0.8904109589041096;0.1095890410958904;0.16326530612244897
Geolife University;STOP_REGION;MSTPClassifierTest;holdout;0.5508474576271186;1.0;0.26666666666666666;0.4210526315789474;1.0;0.0;0.0
Geolife University;STOP_REGION;H_MSM_StopMove_AngleClassifierTest;cross-validation;0.6893795203654358;0.8523864734299517;0.874111111111111;0.8561849588320175;0.915761016222558;0.08423898377744185;0.1476135265700483
Geolife University;STOP_REGION;SWALEClassifierTest;cross-validation;0.3655881233346022;0.3913990951821933;0.8053915343915344;0.5240772919351645;0.3096972541233275;0.6903027458766725;0.6086009048178067
Geolife University;STOP_REGION;DTWaClassifierTest;holdout;0.9322033898305084;0.9574468085106383;1.0;0.9782608695652174;0.9726027397260274;0.0273972602739726;0.0425531914893617
Geolife University;STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;cross-validation;0.4978682908260373;0.6506970324361628;0.4290264550264551;0.49663203463203465;0.8458806434872859;0.15411935651271408;0.3493029675638371
Geolife University;STOP_REGION;EDRClassifierTest;holdout;0.7711864406779662;0.8;0.9777777777777777;0.8800000000000001;0.8493150684931506;0.15068493150684936;0.2
Geolife University;STOP_REGION;MSMClassifierTest;holdout;0.7288135593220338;0.85;0.7555555555555555;0.7999999999999998;0.9178082191780822;0.0821917808219178;0.15
Geolife University;STOP_REGION;SWALEClassifierTest;holdout;0.4322033898305085;0.2857142857142857;0.044444444444444446;0.07692307692307693;0.9315068493150684;0.06849315068493156;0.7142857142857143
Geolife University;STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;cross-validation;0.829425199847735;0.8859259259259259;0.9163280423280422;0.8978998289374228;0.9371497033009183;0.06285029669908168;0.11407407407407408
Geolife University;STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;holdout;0.8389830508474576;0.8775510204081632;0.9555555555555556;0.9148936170212767;0.9178082191780822;0.0821917808219178;0.12244897959183673
Geolife University;STOP_REGION;CVTIClassifierTest;holdout;0.5677966101694916;1.0;0.3111111111111111;0.4745762711864407;1.0;0.0;0.0
Geolife University;STOP_REGION;CVTIClassifierTest;cross-validation;0.5868671488389798;0.5654036525004267;0.8857142857142858;0.6212639264210875;0.4424651970849033;0.5575348029150967;0.43459634749957327
Geolife University;STOP_REGION;EDRClassifierTest;cross-validation;0.7196802436239056;0.8816410256410256;0.8326243386243386;0.8480952380952381;0.9374050224498545;0.06259497755014554;0.11835897435897436
Geolife University;STOP_REGION;MSMClassifierTest;cross-validation;0.7371526456033497;0.7767241379310345;0.7950211640211641;0.7804507486209614;0.8767452900430948;0.12325470995690532;0.22327586206896552
Geolife University;STOP_REGION;MSTPClassifierTest;cross-validation;0.5728968405024742;0.560833902939166;0.8761904761904763;0.6071966794380588;0.42960673270007443;0.5703932672999255;0.43916609706083387
Geolife University;STOP_REGION;LCSSClassifierTest;cross-validation;0.7449181575942139;0.8597271342960997;0.9688518518518519;0.9087472666485951;0.9155056970736221;0.08449430292637802;0.1402728657039002
Geolife University;STOP_REGION;LCSSClassifierTest;holdout;0.4830508474576271;0.3333333333333333;0.1111111111111111;0.16666666666666666;0.863013698630137;0.136986301369863;0.6666666666666666
Geolife University;STOP_REGION;wDFClassifierTest;holdout;0.9322033898305084;0.9375;1.0;0.967741935483871;0.958904109589041;0.04109589041095896;0.0625
Geolife University;STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;holdout;0.8220338983050848;0.88;0.9777777777777777;0.9263157894736842;0.9178082191780822;0.0821917808219178;0.12
Geolife University;STOP_REGION;wDFClassifierTest;cross-validation;0.9385991625428245;0.9450219780219781;0.9592592592592594;0.9495725562952455;0.970886216466235;0.029113783533765036;0.05497802197802197
Geolife University;STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;holdout;0.423728813559322;0.84375;0.6;0.7012987012987012;0.9315068493150684;0.06849315068493156;0.15625
