measure;dataset;0%;10,00%;20,00%;30,00%;40,00%;50,00%;60,00%;70,00%;80,00%;90,00%;100,00%
EDRClassifierTest;San Francisco cab (Directed Regions);10;0.7639285714285714,0.5952857142857142,0.5514808018950433,0.5501748806599392,0.5431740933998512,0.5287492399988478,0.5360972031708697,0.5345053442386916,0.5147471471954228,0.51622636661377
H_MSM_StopMove_EllipsesClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.9787,0.9313765082489338,0.9261802079496055,0.902920124231062,0.8845703492056046,0.8487686853725623,0.8111604578751891,0.7584289418300136,0.6732923837133203
MSMClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.6552616966366966,0.552228937897802,0.5418525462809923,0.5258793170492772,0.522363796893126,0.5119651886651014,0.5160094413087708,0.49853632881174065,0.46333332841246
H_MSM_StopMove_TemporalDurationClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.6415426406926408,0.5592857487340246,0.5608017005600278,0.5323445009286794,0.5259885533697343,0.5359954798679053,0.5271088240591719,0.5294363074142657,0.5213206062321599
wDFClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.8665502764330837,0.8485702480585776,0.842297287897288,0.8394521894547797,0.8314332846512219,0.7780610969768859,0.7411856377100117,0.6037075295547164,0.5074907688490149
LCSSClassifierTest;San Francisco cab (Directed Regions);10;0.7664285714285713,0.5855701381951381,0.5440354157336916,0.5521458285959564,0.5379495931338171,0.5277025077862991,0.5281070406639814,0.5374959625476334,0.5256185525524125,0.515898312962911
MSTPClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.37385073260073254,0.3361257293431206,0.27847587587587586,0.27046310230693993,0.2667120181405896,0.2650580845372664,0.25997438637990655,0.2504916401668525,0.2610260883505867
H_MSM_StopMove_AngleClassifierTest;San Francisco cab (Directed Regions);10;0.22883472995984439,0.2700242592318915,0.3278978993437771,0.36193054562275634,0.400475356657679,0.4256141884858105,0.4610277356488092,0.48439296342269605,0.5035929515180954,0.5120180502161681
SWALEClassifierTest;San Francisco cab (Directed Regions);10;0.45049999999999996,0.39168051066580484,0.2771300286669852,0.26308742364239324,0.26642456852456853,0.24988051204441286,0.25704235147623117,0.25775765521576227,0.2584815982143898,0.2563669374861487
CVTIClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.3780155677655677,0.33797948428383207,0.279591019871665,0.2706390279489745,0.2666438972690526,0.2652209510554926,0.2603745916809553,0.25064381913300326,0.26099604655330355
H_MSM_StopMove_DistanceClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.5820926459251321,0.21966383573401124,0.17493157823103359,0.19944890233182488,0.2196411770546768,0.22298381429749817,0.23924916082552636,0.2492433544218464,0.2610160877054103
DTWaClassifierTest;San Francisco cab (Directed Regions);10;1.0,0.8660501165501165,0.8144204119925482,0.8058886184235492,0.7940613088288149,0.785147669239891,0.7666258562560033,0.7201994312595175,0.5683734825634025,0.5253930011938871
