dataset;stop-semantic;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;SMSMAngleClassifierTest;cross-validation;0.07714285714285714;0.0;0.0;0.0;0.5209523809523808;0.4790476190476191;1.0
Dublin bus(lines=2);STOP_STREET_NAME;LiuSchneiderClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [2, 3]);STOP_STREET_NAME;SWALEClassifierTest;holdout;0.4;1.0;0.25;0.4;1.0;0.0;0.0
Dublin bus(lines=2);STOP_STREET_NAME;DTWClassifierTest;holdout;0.6013986013986014;1.0;0.2191780821917808;0.3595505617977528;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;H_MSM_EllipsesClassifierTest;holdout;0.6609195402298851;0.6609195402298851;1.0;0.7958477508650519;0.0;1.0;0.3390804597701149
Pisa (Users [2, 3]);STOP_STREET_NAME;MSTPClassifierTest;cross-validation;0.6133333333333333;1.0;0.0;0.0;1.0;0.0;0.0
Vehicle;STOP_STREET_NAME;DTWaClassifierTest;cross-validation;0.3630379746835443;1.0;0.018518518518518517;0.035338345864661655;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;MSMClassifierTest;cross-validation;0.6425876010781671;0.6898614469803682;0.754724714302929;0.7199637047249657;0.43295249795249796;0.5670475020475021;0.31013855301963184
New York bus(lines=2);STOP_STREET_NAME;DTWClassifierTest;cross-validation;0.4897325984894877;0.7395877754086709;0.27521726011428527;0.2647857252660286;0.787983494473058;0.21201650552694193;0.26041222459132907
Vehicle;STOP_STREET_NAME;MSTPClassifierTest;holdout;0.328;0.328;1.0;0.4939759036144578;0.0;1.0;0.672
New York bus(lines=2);STOP_STREET_NAME;H_MSM_TemporalDurationClassifierTest;cross-validation;0.668871198203715;0.8946428571428571;0.5100312111080721;0.5964326172658262;0.8498412698412698;0.15015873015873016;0.10535714285714286
Dublin bus(lines=2);STOP_STREET_NAME;LCSSClassifierTest;holdout;0.8811188811188811;0.9666666666666667;0.7945205479452054;0.8721804511278196;0.9714285714285714;0.02857142857142858;0.03333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;SMSMDistanceClassifierTest;cross-validation;0.13428571428571429;0.05;0.06666666666666667;0.05714285714285715;0.5876190476190477;0.41238095238095235;0.95
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;DTWaClassifierTest;cross-validation;0.5382389937106918;0.617454432249789;0.8800148611049622;0.7256148115568667;0.08990035490035489;0.9100996450996451;0.38254556775021087
New York bus(lines=2);STOP_STREET_NAME;H_MSM_EllipsesClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
Pisa (Users [2, 3]);STOP_STREET_NAME;H_MSM_TemporalDurationClassifierTest;cross-validation;0.6133333333333333;0.5666666666666667;1.0;0.7133333333333334;0.06666666666666667;0.9333333333333333;0.4333333333333333
Dublin bus(lines=2);STOP_STREET_NAME;SMSMPointsClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;MSMClassifierTest;holdout;0.5977011494252874;0.7102803738317757;0.6608695652173913;0.6846846846846847;0.4745762711864407;0.5254237288135593;0.2897196261682243
Vehicle;STOP_STREET_NAME;SMSMAngleClassifierTest;cross-validation;0.9762700421940929;0.919396689215201;0.9913043478260869;0.9538025957190518;0.9669060102363188;0.033093989763681206;0.08060331078479899
New York bus(lines=2);STOP_STREET_NAME;H_MSM_TemporalDurationClassifierTest;holdout;0.7217391304347827;0.9444444444444444;0.53125;0.6799999999999999;0.9607843137254902;0.039215686274509776;0.05555555555555555
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;H_MSM_DistanceClassifierTest;cross-validation;0.5590296495956874;0.653419635200786;0.8812332762481603;0.7500569243034997;0.21742833742833745;0.7825716625716627;0.34658036479921395
Vehicle;STOP_STREET_NAME;MSMClassifierTest;cross-validation;0.9814683544303797;0.9593301435406698;0.9913043478260869;0.9743878762483413;0.9858909726423338;0.014109027357666193;0.04066985645933015
Vehicle;STOP_STREET_NAME;DTWClassifierTest;cross-validation;0.3630379746835443;1.0;0.018518518518518517;0.035338345864661655;1.0;0.0;0.0
Vehicle;STOP_STREET_NAME;SMSMDistanceClassifierTest;cross-validation;0.9656033755274261;0.9019108302991361;1.0;0.947910083016466;0.95981668731215;0.040183312687849915;0.09808916970086386
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;LiuSchneiderClassifierTest;holdout;0.16666666666666666;0.0;0.0;0.0;0.7;0.30000000000000004;1.0
Vehicle;STOP_STREET_NAME;SMSMEllipsesClassifierTest;cross-validation;0.9788016877637131;0.9521872863978128;1.0;0.9751959570564221;0.9817243059756671;0.018275694024332868;0.047812713602187286
Dublin bus(lines=2);STOP_STREET_NAME;H_MSM_TemporalDurationClassifierTest;holdout;0.8111888111888111;1.0;0.6301369863013698;0.773109243697479;1.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;HCSSClassifierTest;holdout;0.3333333333333333;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [2, 3]);STOP_STREET_NAME;H_MSM_AngleClassifierTest;holdout;0.6;0.75;0.75;0.75;0.0;1.0;0.25
Pisa (Users [4, 6]);STOP_STREET_NAME;MSMClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Dublin bus(lines=2);STOP_STREET_NAME;SMSMPointsClassifierTest;cross-validation;0.9953755680299385;1.0;0.990909090909091;0.9953488372093023;1.0;0.0;0.0
Dublin bus(lines=2);STOP_STREET_NAME;DTWaClassifierTest;cross-validation;0.7425554664528201;1.0;0.5198886220162816;0.6817143442143443;1.0;0.0;0.0
New York bus(lines=2);STOP_STREET_NAME;SWALEClassifierTest;cross-validation;0.6282098387426005;0.6365207046758486;0.6655594997094527;0.6463611968838765;0.5146491004068762;0.4853508995931238;0.36347929532415135
Pisa (Users [2, 3]);STOP_STREET_NAME;SMSMAngleClassifierTest;holdout;0.6;0.75;0.75;0.75;0.0;1.0;0.25
Pisa (Users [4, 6]);STOP_STREET_NAME;ERPClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [4, 6]);STOP_STREET_NAME;wDFClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [4, 6]);STOP_STREET_NAME;SMSMDistanceClassifierTest;cross-validation;1.0;1.0;1.0;1.0;0.6;0.0;0.0
Dublin bus(lines=2);STOP_STREET_NAME;SMSMTemporalDurationClassifierTest;cross-validation;0.990751136059877;1.0;0.9823984526112186;0.9910010111223458;1.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;H_MSM_TemporalDurationClassifierTest;holdout;0.4166666666666667;0.2222222222222222;1.0;0.3636363636363636;0.3;0.7;0.7777777777777778
New York bus(lines=2);STOP_STREET_NAME;SMSMAngleClassifierTest;cross-validation;0.9943661971830986;0.9887122416534181;0.9945945945945945;0.9916095199677288;0.988562091503268;0.01143790849673203;0.011287758346581876
Pisa (Users [2, 3]);STOP_STREET_NAME;EDRClassifierTest;cross-validation;0.3866666666666666;0.5166666666666666;0.6;0.5;0.2;0.8;0.4833333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;H_MSM_AngleClassifierTest;holdout;0.4166666666666667;0.0;0.0;0.0;0.8;0.19999999999999996;1.0
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;ERPClassifierTest;holdout;0.5;0.85;0.2956521739130435;0.43870967741935485;0.8983050847457628;0.10169491525423724;0.15
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;SMSMPointsClassifierTest;cross-validation;0.6920035938903865;0.754851418582762;0.746212158838883;0.7497867284241817;0.5904777504777505;0.4095222495222496;0.24514858141723814
Dublin bus(lines=2);STOP_STREET_NAME;H_MSM_DistanceClassifierTest;holdout;0.8251748251748252;0.8;0.8767123287671232;0.8366013071895425;0.7714285714285715;0.22857142857142854;0.2
Pisa (Users [4, 6]);STOP_STREET_NAME;DTWaClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Vehicle;STOP_STREET_NAME;CVTIClassifierTest;cross-validation;0.35250632911392404;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);STOP_STREET_NAME;CVTIClassifierTest;cross-validation;0.48265169740711034;1.0;0.0;0.0;1.0;0.0;0.0
Vehicle;STOP_STREET_NAME;LCSSClassifierTest;holdout;0.968;1.0;0.9024390243902439;0.9487179487179488;1.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;SMSMEllipsesClassifierTest;cross-validation;0.15428571428571428;0.05;0.06666666666666667;0.05714285714285715;0.580952380952381;0.419047619047619;0.95
Vehicle;STOP_STREET_NAME;HCSSClassifierTest;cross-validation;0.8864135021097047;0.9818181818181818;0.6127011190949809;0.7475189786059352;0.9965517241379309;0.0034482758620689724;0.01818181818181818
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);STOP_STREET_NAME;ERPClassifierTest;cross-validation;0.18285714285714283;1.0;0.0;0.0;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);STOP_STREET_NAME;HCSSClassifierTest;cross-validation;0.5341239892183288;0.6468078000573534;0.7903636426184747;0.7100919740472882;0.27804258804258797;0.7219574119574119;0.35319219994264667
New York bus(lines=2);STOP_STREET_NAME;SWALEClassifierTest;holdout;0.6695652173913044;0.6756756756756757;0.78125;0.7246376811594203;0.5294117647058824;0.47058823529411764;0.32432432432432434
Pisa (Users [2, 3]);STOP_STREET_NAME;LCSSClassifierTest;cross-validation;0.43999999999999995;0.3;0.5;0.36;0.13333333333333333;0.8666666666666666;0.7
New York bus(lines=2);STOP_STREET_NAME;MSTPClassifierTest;cross-validation;0.45793018983466016;0.8985507246376813;0.2;0.13203883495145632;0.8;0.2;0.10144927536231885
