measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,"Geolife University ",10,"0.7670165562776027,0.7223490106297379,0.7023543002656039,0.679883379062223,0.6912789808643688,0.6982821878154193,0.7040203667118055,0.7040918947639752,0.7030430810566555,0.7026609261602177"
LCSSClassifierTest,"Geolife University ",10,"0.7670165562776027,0.7166751715027623,0.6959092023778725,0.6709519049163202,0.6788554181609401,0.6715205828809233,0.6626361168738587,0.6566279020916698,0.6452897931457177,0.6359242731975859"
SMSMTemporalDurationClassifierTest,"Geolife University ",10,"0.7865177880140196,0.7624754958714103,0.7745142254283677,0.7457358720850801,0.6660347180912455,0.6404387408044209,0.6266257748428835,0.611304532648263,0.5959891644476764,0.5903887392496845"
SMSMEllipsesWithDistanceClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.93732917409388,0.9301645658263306,0.8858767370013045,0.8492394078609021,0.8095114765675486,0.779463746571927,0.7419312159711206,0.7081370105120488,0.7044563105487126"
SMSMEllipsesClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.93732917409388,0.9301645658263306,0.8858767370013045,0.8492394078609021,0.8095114765675486,0.779463746571927,0.7419312159711206,0.7081370105120488,0.7044563105487126"
SMSMEllipsesWithTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.93732917409388,0.9301645658263306,0.8858767370013045,0.8492394078609021,0.8095114765675486,0.779463746571927,0.7419312159711206,0.7081370105120488,0.7044563105487126"
MSMClassifierTest,"Geolife University ",10,"0.700708371671423,0.6249018018920455,0.596772449751504,0.5770081217238674,0.5857874116355598,0.5889783312400165,0.5926064933072224,0.5892607746263001,0.5859410474654758,0.5862086106572014"
SMSMEllipsesClassifierTest,"Geolife University ",10,"1.0,0.9271818046605582,0.8811682605232489,0.8598033681269656,0.8304726811654636,0.8129866063633088,0.8045837319351852,0.7786161350489604,0.7725669810008562,0.7654127909292613"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.7536647992530345,0.7032768157768158,0.7047781466899115,0.6771087880799029,0.6593371467250315,0.6310772814737234,0.6107533721925791,0.6017938485595874,0.5965709819104562,0.6026710337309115"
SMSMDistanceClassifierTest,"Geolife University ",10,"1.0,0.9083956986968766,0.8426792661222932,0.8213525846480281,0.7730690134319621,0.7405842793652784,0.7261090233114044,0.7055513383954995,0.7033434397521968,0.7048377122070356"
SMSMEllipsesWithTemporalDurationClassifierTest,"Geolife University ",10,"0.8140513213787309,0.7855286952891625,0.7774549357370308,0.7757683678746681,0.769013111720283,0.7518872667333371,0.7477531374750617,0.7432759151862034,0.7346279257727281,0.72676994212292"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.6182060669437741,0.5368155100378283,0.527699805006957,0.47561969337557763,0.4529832757622377,0.41446659347333653,0.3915922584339127,0.382584907704278,0.3757565934696474,0.38054836833426686"
SMSMEllipsesWithDistanceClassifierTest,"Geolife University ",10,"1.0,0.9221980279382993,0.874053434757456,0.8529804606808287,0.826369605813679,0.8106437344109169,0.8040376928616597,0.7760214724589347,0.7719990502486147,0.7635842056461941"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.7536647992530345,0.6934513402463229,0.6874486426117477,0.6307606004001155,0.5795434084432783,0.520634765940918,0.46291304513832543,0.4404151522793261,0.4195112838440782,0.41988646003203234"
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,"Geolife University ",10,"0.8092639555561049,0.7844000302271467,0.7766028017670571,0.7743297716828912,0.7691576365730058,0.7519727572017976,0.7485617116600066,0.7425429335334435,0.7351780271615,0.7257626218071742"
SMSMTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8097105508870215,0.7892936720142602,0.7140799287858112,0.6948830466632324,0.6968681679264906,0.6535553763067247,0.609349223559062,0.5886215459364059,0.5870767262092793"
SMSMDistanceClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.7977792632204397,0.7448126220185043,0.7057446958398516,0.6759868938428172,0.65095375601648,0.6274776503698789,0.6077696390082798,0.6003439978502736,0.6043963999351688"
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8138888888888889,0.7988636363636363,0.7234974176150647,0.6922451831507559,0.6998156817736584,0.6454944176171715,0.6020573437222133,0.5840452445276627,0.5871881762503655"
