dataset;stop-semantic;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
San Francisco cab (Directed Regions);STOP_REGION;MSTPClassifierTest;holdout;0.3125;1.0;0.0;0.0;1.0;0.0;0.0
San Francisco cab (Directed Regions);STOP_REGION;CVTIClassifierTest;cross-validation;0.25;0.6;0.0;0.0;0.9755555555555556;0.024444444444444446;0.4
San Francisco cab (Directed Regions);STOP_REGION;DTWaClassifierTest;holdout;0.75;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.96;0.040000000000000036;0.14285714285714285
San Francisco cab (Directed Regions);STOP_REGION;DTWaClassifierTest;cross-validation;0.8300000000000001;0.6833333333333333;0.74;0.6575757575757575;0.888888888888889;0.11111111111111109;0.3166666666666666
San Francisco cab (Directed Regions);STOP_REGION;MSTPClassifierTest;cross-validation;0.27;1.0;0.0;0.0;1.0;0.0;0.0
San Francisco cab (Directed Regions);STOP_REGION;wDFClassifierTest;holdout;0.71875;0.75;0.8571428571428571;0.7999999999999999;0.92;0.07999999999999996;0.25
San Francisco cab (Directed Regions);STOP_REGION;EDRClassifierTest;cross-validation;0.43000000000000005;0.49682539682539684;0.525;0.48571428571428577;0.7966666666666666;0.20333333333333337;0.5031746031746032
San Francisco cab (Directed Regions);STOP_REGION;MSMClassifierTest;cross-validation;0.45999999999999996;0.5563492063492064;0.665;0.5725829725829726;0.8099999999999999;0.19;0.4436507936507937
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;cross-validation;0.99;1.0;1.0;1.0;1.0;0.0;0.0
San Francisco cab (Directed Regions);STOP_REGION;LCSSClassifierTest;holdout;0.5;0.0;0.0;0.0;0.96;0.040000000000000036;1.0
San Francisco cab (Directed Regions);STOP_REGION;wDFClassifierTest;cross-validation;0.72;0.72;0.7;0.6487878787878787;0.9022222222222223;0.09777777777777777;0.27999999999999997
San Francisco cab (Directed Regions);STOP_REGION;LCSSClassifierTest;cross-validation;0.44000000000000006;0.49682539682539684;0.525;0.48571428571428577;0.7966666666666666;0.20333333333333337;0.5031746031746032
San Francisco cab (Directed Regions);STOP_REGION;SWALEClassifierTest;holdout;0.53125;0.0;0.0;0.0;0.92;0.07999999999999996;1.0
San Francisco cab (Directed Regions);STOP_REGION;MSMClassifierTest;holdout;0.5625;0.5;0.2857142857142857;0.36363636363636365;0.92;0.07999999999999996;0.5
San Francisco cab (Directed Regions);STOP_REGION;EDRClassifierTest;holdout;0.53125;0.0;0.0;0.0;0.96;0.040000000000000036;1.0
San Francisco cab (Directed Regions);STOP_REGION;SWALEClassifierTest;cross-validation;0.44000000000000006;0.49682539682539684;0.525;0.48571428571428577;0.7966666666666666;0.20333333333333337;0.5031746031746032
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
San Francisco cab (Directed Regions);STOP_REGION;CVTIClassifierTest;holdout;0.3125;1.0;0.0;0.0;1.0;0.0;0.0
