dataset;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;cross-validation;0.5333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Pisa (Users [4, 6]);DTWaClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [2, 3]);SWALEClassifierTest;cross-validation;0.4;0.5;0.7;0.3;0.0;0.6;0.5
New York bus(lines=2);LCSSClassifierTest;cross-validation;0.9541947336191059;0.9258695652173913;0.9941176470588236;0.9572490019341281;0.9000976267084674;0.09990237329153262;0.0741304347826087
Dublin bus(lines=2);DTWClassifierTest;cross-validation;0.5707564822240042;0.9294117647058823;0.28863583225285355;0.4106194056569997;0.9454545454545455;0.05454545454545454;0.07058823529411765
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);EDRClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [4, 6]);DTWClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Dublin bus(lines=2);MSMMoveDistanceClassifierTest;cross-validation;0.9860999732691793;1.0;0.990909090909091;0.9953488372093023;1.0;0.0;0.0
New York bus(lines=2);MSMMoveDistanceClassifierTest;cross-validation;0.9887323943661972;0.9885339885339886;0.984186162447032;0.9863361863361864;0.988562091503268;0.01143790849673203;0.011466011466011467
Pisa (Users [4, 6]);EDRClassifierTest;cross-validation;0.5333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Pisa (Users [2, 3]);LiuSchneiderClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;cross-validation;0.8666666666666666;1.0;0.9;0.9333333333333333;0.6;0.0;0.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;cross-validation;0.9333333333333333;1.0;1.0;1.0;0.6;0.0;0.0
San Francisco cab (Airport <-> Mall);MSMMovePointsClassifierTest;cross-validation;0.6939083557951483;0.7596116208772108;0.746212158838883;0.7520949270368921;0.6004286104286105;0.39957138957138955;0.24038837912278926
Pisa (Users [2, 3]);HCSSClassifierTest;cross-validation;0.8666666666666666;1.0;0.9;0.9333333333333333;0.6;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Dublin bus(lines=2);MSMMoveAngleClassifierTest;holdout;0.986013986013986;0.9863013698630136;0.9863013698630136;0.9863013698630136;0.9857142857142858;0.014285714285714235;0.0136986301369863
New York bus(lines=2);MSMClassifierTest;cross-validation;0.45793018983466016;0.8985507246376813;0.2;0.13203883495145632;0.8;0.2;0.10144927536231885
Pisa (Users [2, 3]);SWALEClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;holdout;0.6781609195402298;0.7251908396946565;0.8260869565217391;0.7723577235772358;0.3898305084745763;0.6101694915254237;0.2748091603053435
"Vehicle ";ERPClassifierTest;holdout;0.336;0.33064516129032256;1.0;0.49696969696969695;0.011904761904761904;0.9880952380952381;0.6693548387096774
New York bus(lines=2);LiuSchneiderClassifierTest;cross-validation;0.5187997550520513;0.896875;0.19376114081996437;0.1392636229749632;0.8166666666666668;0.18333333333333332;0.103125
"Vehicle ";LCSSClassifierTest;cross-validation;0.9814683544303799;0.9717460317460317;0.9722567287784679;0.9715707598634428;0.9886813537675607;0.011318646232439344;0.028253968253968254
San Francisco cab (Airport <-> Mall);SWALEClassifierTest;cross-validation;0.646397124887691;0.6648366374945709;0.8746742876007897;0.7463019796177642;0.2459404859404859;0.7540595140595141;0.335163362505429
"Vehicle ";MSTPClassifierTest;cross-validation;0.35250632911392404;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;cross-validation;0.9333333333333333;1.0;1.0;1.0;0.6;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LCSSClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [4, 6]);LCSSClassifierTest;cross-validation;0.8666666666666666;1.0;0.9;0.9333333333333333;0.6;0.0;0.0
Dublin bus(lines=2);LCSSClassifierTest;cross-validation;0.8839080459770114;0.9866666666666667;0.8124535039428655;0.8863754661130974;0.9863636363636363;0.013636363636363646;0.013333333333333332
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;cross-validation;1.0;1.0;1.0;1.0;0.6;0.0;0.0
"Vehicle ";MSMClassifierTest;holdout;0.328;0.328;1.0;0.4939759036144578;0.0;1.0;0.672
"Vehicle ";wDFClassifierTest;cross-validation;0.8074936708860759;0.6425928457507405;0.6288731917887929;0.6270334928229666;0.8605164731752752;0.13948352682472467;0.3574071542492595
Dublin bus(lines=2);MSMClassifierTest;cross-validation;0.48265169740711034;1.0;0.0;0.0;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);EDRClassifierTest;holdout;0.5;0.6372549019607843;0.5652173913043478;0.5990783410138248;0.3728813559322034;0.6271186440677966;0.3627450980392157
"Vehicle ";wDFClassifierTest;holdout;0.752;0.625;0.6097560975609756;0.6172839506172839;0.8214285714285714;0.1785714285714286;0.375
Pisa (Users [4, 6]);wDFClassifierTest;cross-validation;0.13333333333333333;0.5;0.9;0.5;0.0;0.6;0.5
Pisa (Users [2, 3]);EDRClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Dublin bus(lines=2);SWALEClassifierTest;holdout;0.6013986013986014;0.7;0.3835616438356164;0.495575221238938;0.8285714285714286;0.17142857142857137;0.3
New York bus(lines=2);MSMMoveEllipsesClassifierTest;cross-validation;0.9971830985915492;0.9888544891640867;1.0;0.9943482587064676;0.988562091503268;0.01143790849673203;0.011145510835913312
New York bus(lines=2);DTWClassifierTest;holdout;0.5478260869565217;0.5535714285714286;0.96875;0.7045454545454546;0.0196078431372549;0.9803921568627451;0.44642857142857145
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [2, 3]);DTWaClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
New York bus(lines=2);MSMClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
"Vehicle ";CVTIClassifierTest;holdout;0.328;0.328;1.0;0.4939759036144578;0.0;1.0;0.672
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [4, 6]);MSTPClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Dublin bus(lines=2);DTWaClassifierTest;holdout;0.7342657342657343;1.0;0.4794520547945205;0.6481481481481481;1.0;0.0;0.0
New York bus(lines=2);CVTIClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
Pisa (Users [4, 6]);MSMMovePointsClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
San Francisco cab (Airport <-> Mall);wDFClassifierTest;holdout;0.6264367816091954;0.711864406779661;0.7304347826086957;0.7210300429184548;0.423728813559322;0.576271186440678;0.288135593220339
San Francisco cab (Airport <-> Mall);wDFClassifierTest;cross-validation;0.5949865229110513;0.6982731929734622;0.6818325679463577;0.6894829095601207;0.5061889161889163;0.49381108381108374;0.30172680702653787
San Francisco cab (Airport <-> Mall);ERPClassifierTest;holdout;0.5;0.85;0.2956521739130435;0.43870967741935485;0.8983050847457628;0.10169491525423724;0.15
Dublin bus(lines=2);LiuSchneiderClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);EDRClassifierTest;cross-validation;0.5873674752920037;0.6340553619821913;0.82239453194214;0.7150931205520052;0.20753753753753754;0.7924624624624623;0.36594463801780874
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;cross-validation;0.43369272237196765;0.6254806828391735;1.0;0.7692636235520245;0.0;1.0;0.37451931716082665
New York bus(lines=2);MSMMovePointsClassifierTest;cross-validation;0.9971830985915492;0.9888544891640867;1.0;0.9943482587064676;0.988562091503268;0.01143790849673203;0.011145510835913312
Pisa (Users [2, 3]);ERPClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
San Francisco cab (Airport <-> Mall);MSMClassifierTest;holdout;0.6609195402298851;0.6609195402298851;1.0;0.7958477508650519;0.0;1.0;0.3390804597701149
San Francisco cab (Airport <-> Mall);MSTPClassifierTest;holdout;0.6609195402298851;0.6609195402298851;1.0;0.7958477508650519;0.0;1.0;0.3390804597701149
Pisa (Users [4, 6]);LCSSClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
New York bus(lines=2);HCSSClassifierTest;holdout;0.9652173913043478;0.9545454545454546;0.984375;0.9692307692307692;0.9411764705882353;0.05882352941176472;0.045454545454545456
"Vehicle ";MSMMoveAngleClassifierTest;cross-validation;0.9736033755274262;0.9120633558818676;0.9913043478260869;0.9499018864991937;0.9633345816648902;0.03666541833510979;0.08793664411813232
Pisa (Users [2, 3]);DTWClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
