dataset;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
New York bus(lines=2);wDFClassifierTest;cross-validation;0.9914676464584609;1.0;0.9832708306392517;0.9915166842290131;1.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
New York bus(lines=2);SWALEClassifierTest;cross-validation;0.6282098387426005;0.6365207046758486;0.6655594997094527;0.6463611968838765;0.5146491004068762;0.4853508995931238;0.36347929532415135
San Francisco cab (Airport <-> Mall);DTWaClassifierTest;cross-validation;0.5382389937106918;0.617454432249789;0.8800148611049622;0.7256148115568667;0.08990035490035489;0.9100996450996451;0.38254556775021087
Dublin bus(lines=2);HCSSClassifierTest;cross-validation;0.7608928094092489;1.0;0.42387470685343026;0.58330493204266;1.0;0.0;0.0
Pisa (Users [4, 6]);DTWClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;holdout;0.6551724137931034;0.7477477477477478;0.7217391304347827;0.7345132743362831;0.5254237288135594;0.47457627118644063;0.25225225225225223
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
"Vehicle ";MSMMoveDistanceClassifierTest;holdout;0.968;0.9111111111111111;1.0;0.9534883720930233;0.9523809523809523;0.04761904761904767;0.08888888888888889
Dublin bus(lines=2);wDFClassifierTest;holdout;0.9370629370629371;0.9848484848484849;0.8904109589041096;0.935251798561151;0.9857142857142858;0.014285714285714235;0.015151515151515152
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;cross-validation;0.6;0.6;1.0;0.6;0.2;0.4;0.4
San Francisco cab (Airport <-> Mall);ERPClassifierTest;cross-validation;0.5663432165318957;0.6314147018030514;0.982128068010421;0.7679416571154162;0.04212803712803713;0.9578719628719629;0.3685852981969487
New York bus(lines=2);MSMMoveAngleClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
Dublin bus(lines=2);CVTIClassifierTest;cross-validation;0.48265169740711034;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
"Vehicle ";HCSSClassifierTest;holdout;0.896;0.9666666666666667;0.7073170731707317;0.8169014084507042;0.9880952380952381;0.011904761904761862;0.03333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Dublin bus(lines=2);LCSSClassifierTest;holdout;0.8811188811188811;0.9666666666666667;0.7945205479452054;0.8721804511278196;0.9714285714285714;0.02857142857142858;0.03333333333333333
Dublin bus(lines=2);MSMMoveEllipsesClassifierTest;holdout;0.993006993006993;1.0;0.9863013698630136;0.993103448275862;1.0;0.0;0.0
Dublin bus(lines=2);ERPClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);EDRClassifierTest;cross-validation;0.9582464581662655;0.9953488372093023;0.9542503595695084;0.9740805080152766;0.9954545454545455;0.004545454545454542;0.004651162790697674
San Francisco cab (Airport <-> Mall);MSMClassifierTest;cross-validation;0.43369272237196765;0.6254806828391735;1.0;0.7692636235520245;0.0;1.0;0.37451931716082665
Pisa (Users [2, 3]);MSMMovePointsClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;cross-validation;0.8666666666666666;1.0;0.9;0.9333333333333333;0.6;0.0;0.0
"Vehicle ";CVTIClassifierTest;cross-validation;0.35250632911392404;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [2, 3]);MSMMoveEllipsesClassifierTest;cross-validation;0.9333333333333333;1.0;1.0;1.0;0.6;0.0;0.0
New York bus(lines=2);EDRClassifierTest;cross-validation;0.8732802612778118;0.76891384863124;1.0;0.8680302864440795;0.6504465292428333;0.3495534707571668;0.23108615136876004
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;cross-validation;0.13333333333333333;0.5;0.9;0.5;0.0;0.6;0.5
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
San Francisco cab (Airport <-> Mall);HCSSClassifierTest;cross-validation;0.5341239892183288;0.6468078000573534;0.7903636426184747;0.7100919740472882;0.27804258804258797;0.7219574119574119;0.35319219994264667
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;cross-validation;1.0;1.0;1.0;1.0;0.6;0.0;0.0
Pisa (Users [4, 6]);MSMClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Dublin bus(lines=2);MSTPClassifierTest;cross-validation;0.48265169740711034;1.0;0.0;0.0;1.0;0.0;0.0
"Vehicle ";SWALEClassifierTest;holdout;0.984;0.975609756097561;0.975609756097561;0.975609756097561;0.9880952380952381;0.011904761904761862;0.024390243902439025
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);ERPClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
San Francisco cab (Airport <-> Mall);MSMMoveEllipsesClassifierTest;cross-validation;0.6882120395327942;0.7510570990967779;0.749828359417475;0.7500425144016774;0.5809322959322959;0.4190677040677041;0.2489429009032221
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;cross-validation;0.9333333333333333;1.0;1.0;1.0;0.6;0.0;0.0
New York bus(lines=2);MSMMoveDistanceClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);SWALEClassifierTest;holdout;0.5919540229885057;0.6549295774647887;0.808695652173913;0.7237354085603114;0.1694915254237288;0.8305084745762712;0.34507042253521125
San Francisco cab (Airport <-> Mall);LiuSchneiderClassifierTest;cross-validation;0.5245283018867926;0.6254806828391735;1.0;0.7692636235520245;0.0;1.0;0.37451931716082665
San Francisco cab (Airport <-> Mall);DTWaClassifierTest;holdout;0.603448275862069;0.6513157894736842;0.8608695652173913;0.7415730337078651;0.1016949152542373;0.8983050847457628;0.34868421052631576
San Francisco cab (Airport <-> Mall);CVTIClassifierTest;cross-validation;0.43369272237196765;0.6254806828391735;1.0;0.7692636235520245;0.0;1.0;0.37451931716082665
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;cross-validation;0.6919676549865229;0.7357189733111369;0.7604479275423891;0.7472942226424535;0.5417403767403768;0.45825962325962327;0.2642810266888631
Dublin bus(lines=2);DTWClassifierTest;holdout;0.6013986013986014;1.0;0.2191780821917808;0.3595505617977528;1.0;0.0;0.0
Pisa (Users [2, 3]);LiuSchneiderClassifierTest;cross-validation;0.6;0.6;1.0;0.6;0.2;0.4;0.4
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [4, 6]);MSMMoveEllipsesClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
New York bus(lines=2);MSTPClassifierTest;cross-validation;0.45793018983466016;0.8985507246376813;0.2;0.13203883495145632;0.8;0.2;0.10144927536231885
"Vehicle ";MSMMoveDistanceClassifierTest;cross-validation;0.9656033755274261;0.9019108302991361;1.0;0.947910083016466;0.95981668731215;0.040183312687849915;0.09808916970086386
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
"Vehicle ";DTWClassifierTest;cross-validation;0.3630379746835443;1.0;0.018518518518518517;0.035338345864661655;1.0;0.0;0.0
Pisa (Users [4, 6]);DTWaClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
"Vehicle ";MSMMoveEllipsesClassifierTest;holdout;0.984;0.9534883720930233;1.0;0.9761904761904763;0.9761904761904762;0.023809523809523836;0.046511627906976744
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;cross-validation;0.4;0.5;0.7;0.3;0.0;0.6;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [4, 6]);EDRClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [2, 3]);MSTPClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
San Francisco cab (Airport <-> Mall);MSMMoveAngleClassifierTest;holdout;0.6839080459770115;0.7830188679245284;0.7217391304347827;0.7511312217194571;0.6101694915254238;0.38983050847457623;0.2169811320754717
New York bus(lines=2);MSMMoveAngleClassifierTest;cross-validation;0.9943661971830986;0.9887122416534181;0.9945945945945945;0.9916095199677288;0.988562091503268;0.01143790849673203;0.011287758346581876
New York bus(lines=2);ERPClassifierTest;cross-validation;0.5477036129822412;0.5433268440406662;0.9741727998020904;0.6950524820712981;0.032140729129426435;0.9678592708705736;0.4566731559593338
"Vehicle ";DTWaClassifierTest;cross-validation;0.3630379746835443;1.0;0.018518518518518517;0.035338345864661655;1.0;0.0;0.0
Pisa (Users [2, 3]);MSMMoveEllipsesClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
San Francisco cab (Airport <-> Mall);MSMMoveEllipsesClassifierTest;holdout;0.6609195402298851;0.7692307692307693;0.6956521739130435;0.730593607305936;0.5932203389830508;0.4067796610169492;0.23076923076923078
Dublin bus(lines=2);DTWaClassifierTest;cross-validation;0.7425554664528201;1.0;0.5198886220162816;0.6817143442143443;1.0;0.0;0.0
Pisa (Users [4, 6]);SWALEClassifierTest;cross-validation;0.4;0.5;0.7;0.3;0.0;0.6;0.5
Dublin bus(lines=2);wDFClassifierTest;cross-validation;0.9466452820101576;0.9846153846153847;0.8872744276999596;0.9331746031746031;0.9863636363636363;0.013636363636363646;0.015384615384615385
San Francisco cab (Airport <-> Mall);MSMMovePointsClassifierTest;holdout;0.6724137931034483;0.7843137254901961;0.6956521739130435;0.7373271889400923;0.6271186440677966;0.3728813559322034;0.21568627450980393
New York bus(lines=2);DTWaClassifierTest;cross-validation;0.4953664013063891;0.8729211087420042;0.26995410221954846;0.2586619391422425;0.8055462184873949;0.19445378151260503;0.12707889125799574
Pisa (Users [2, 3]);LCSSClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
New York bus(lines=2);LiuSchneiderClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Dublin bus(lines=2);MSMClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);DTWClassifierTest;holdout;0.5919540229885057;0.6486486486486487;0.8347826086956521;0.7300380228136882;0.11864406779661017;0.8813559322033898;0.35135135135135137
San Francisco cab (Airport <-> Mall);LiuSchneiderClassifierTest;holdout;0.6609195402298851;0.6609195402298851;1.0;0.7958477508650519;0.0;1.0;0.3390804597701149
New York bus(lines=2);EDRClassifierTest;holdout;0.7043478260869566;1.0;0.46875;0.6382978723404256;1.0;0.0;0.0
Pisa (Users [2, 3]);MSMClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
"Vehicle ";MSMClassifierTest;cross-validation;0.35250632911392404;1.0;0.0;0.0;1.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;cross-validation;0.9333333333333333;1.0;1.0;1.0;0.6;0.0;0.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [4, 6]);HCSSClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [4, 6]);ERPClassifierTest;cross-validation;0.3333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
"Vehicle ";MSTPClassifierTest;holdout;0.328;0.328;1.0;0.4939759036144578;0.0;1.0;0.672
Pisa (Users [4, 6]);LiuSchneiderClassifierTest;cross-validation;0.6;0.6;1.0;0.6;0.2;0.4;0.4
San Francisco cab (Airport <-> Mall);DTWClassifierTest;cross-validation;0.5819586702605571;0.6323672682789224;0.9358653642138611;0.7544849414817454;0.09131586131586132;0.9086841386841387;0.3676327317210776
Dublin bus(lines=2);HCSSClassifierTest;holdout;0.8041958041958042;0.9591836734693877;0.6438356164383562;0.7704918032786885;0.9714285714285714;0.02857142857142858;0.04081632653061224
"Vehicle ";HCSSClassifierTest;cross-validation;0.8864135021097047;0.9818181818181818;0.6127011190949809;0.7475189786059352;0.9965517241379309;0.0034482758620689724;0.01818181818181818
Pisa (Users [4, 6]);ERPClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Dublin bus(lines=2);ERPClassifierTest;cross-validation;0.48265169740711034;0.8950819672131146;0.17358846826931934;0.17743768575391322;0.8545454545454545;0.14545454545454545;0.10491803278688525
Pisa (Users [4, 6]);wDFClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
San Francisco cab (Airport <-> Mall);MSMMoveDistanceClassifierTest;cross-validation;0.6958310871518419;0.760223880597015;0.750340249523093;0.7547892458418775;0.6023478023478023;0.3976521976521977;0.23977611940298504
"Vehicle ";MSMMoveAngleClassifierTest;holdout;0.968;0.9111111111111111;1.0;0.9534883720930233;0.9523809523809523;0.04761904761904767;0.08888888888888889
Pisa (Users [2, 3]);wDFClassifierTest;cross-validation;0.13333333333333333;0.5;0.9;0.5;0.0;0.6;0.5
Pisa (Users [2, 3]);HCSSClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
San Francisco cab (Airport <-> Mall);LCSSClassifierTest;cross-validation;0.5852650494159929;0.6622718988916172;0.7536587129555977;0.704751293056146;0.3594608244608245;0.6405391755391755;0.3377281011083828
New York bus(lines=2);HCSSClassifierTest;cross-validation;0.752112676056338;0.7172796934865902;0.9526548624273756;0.8092455163883734;0.48412213880409577;0.5158778611959043;0.28272030651340996
New York bus(lines=2);MSTPClassifierTest;holdout;0.5565217391304348;0.5565217391304348;1.0;0.7150837988826816;0.0;1.0;0.4434782608695652
New York bus(lines=2);CVTIClassifierTest;cross-validation;0.45793018983466016;0.8985507246376813;0.2;0.13203883495145632;0.8;0.2;0.10144927536231885
New York bus(lines=2);ERPClassifierTest;holdout;0.45217391304347826;0.6666666666666666;0.03125;0.05970149253731343;0.9803921568627451;0.019607843137254943;0.3333333333333333
"Vehicle ";LiuSchneiderClassifierTest;cross-validation;0.7645569620253164;0.7383838383838384;0.439058715273549;0.543754724111867;0.9489074698239852;0.05109253017601474;0.2616161616161616
Pisa (Users [2, 3]);EDRClassifierTest;cross-validation;0.5333333333333333;0.5333333333333333;1.0;0.5599999999999999;0.0;0.6;0.4666666666666667
Pisa (Users [2, 3]);DTWaClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [2, 3]);MSMClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [2, 3]);LCSSClassifierTest;cross-validation;0.8666666666666666;1.0;0.9;0.9333333333333333;0.6;0.0;0.0
New York bus(lines=2);wDFClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
New York bus(lines=2);SWALEClassifierTest;holdout;0.6695652173913044;0.6756756756756757;0.78125;0.7246376811594203;0.5294117647058824;0.47058823529411764;0.32432432432432434
"Vehicle ";DTWClassifierTest;holdout;0.336;0.33064516129032256;1.0;0.49696969696969695;0.011904761904761904;0.9880952380952381;0.6693548387096774
San Francisco cab (Airport <-> Mall);CVTIClassifierTest;holdout;0.6609195402298851;0.6609195402298851;1.0;0.7958477508650519;0.0;1.0;0.3390804597701149
Dublin bus(lines=2);MSMMovePointsClassifierTest;cross-validation;0.9953755680299385;1.0;0.990909090909091;0.9953488372093023;1.0;0.0;0.0
Pisa (Users [2, 3]);ERPClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;holdout;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Pisa (Users [4, 6]);MSMClassifierTest;holdout;0.0;1.0;0.0;0.0;0.0;0.0;0.0
"Vehicle ";LiuSchneiderClassifierTest;holdout;0.736;0.6428571428571429;0.43902439024390244;0.5217391304347826;0.8809523809523809;0.11904761904761907;0.35714285714285715
New York bus(lines=2);MSMMoveEllipsesClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
