measure;dataset;0%;4,00%;8,00%;12,00%;16,00%;20,00%;24,00%;28,00%;32,00%;36,00%;40,00%;44,00%;48,00%;52,00%;56,00%;60,00%;64,00%;68,00%;72,00%;76,00%;80,00%;84,00%;88,00%;92,00%;96,00%;100,00%
H_MSM_StopMove_DistanceClassifierTest;San Francisco cab (Directed Regions);25;1.0,0.7,0.5933333333333333,0.525,0.47200000000000003,0.43166666666666664,0.39428571428571424,0.3675,0.35,0.33299999999999996,0.3145454545454545,0.29583333333333334,0.28,0.2671428571428571,0.25533333333333336,0.244375,0.2347058823529412,0.2261111111111111,0.2157894736842105,0.2065,0.19857142857142857,0.19136363636363637,0.18304347826086956,0.1758333333333333,0.16879999999999998
MSTPClassifierTest;San Francisco cab (Directed Regions);25;1.0,0.62,0.49666666666666665,0.4325,0.396,0.36666666666666664,0.34857142857142853,0.33625,0.32666666666666666,0.319,0.31,0.305,0.3007692307692308,0.2957142857142857,0.29266666666666663,0.29,0.28705882352941176,0.28444444444444444,0.2826315789473684,0.27949999999999997,0.27809523809523806,0.2772727272727273,0.2752173913043478,0.27375,0.2732
LiuSchneiderClassifierTest;San Francisco cab (Directed Regions);25;0.23,0.245,0.33,0.31,0.32800000000000007,0.33666666666666667,0.35714285714285715,0.375,0.38666666666666666,0.392,0.3909090909090909,0.38833333333333336,0.39384615384615385,0.3942857142857143,0.39266666666666666,0.396875,0.3941176470588236,0.4,0.4063157894736842,0.4105,0.41142857142857137,0.41409090909090907,0.4191304347826087,0.41916666666666663,0.42
HCSSClassifierTest;San Francisco cab (Directed Regions);25;0.99,0.9,0.8433333333333333,0.8125,0.782,0.765,0.7628571428571428,0.74375,0.7266666666666667,0.713,0.7045454545454546,0.6816666666666668,0.6661538461538461,0.6528571428571429,0.638,0.623125,0.6076470588235294,0.5888888888888889,0.5731578947368421,0.557,0.5428571428571428,0.5277272727272727,0.5130434782608695,0.5004166666666666,0.49160000000000004
ERPClassifierTest;San Francisco cab (Directed Regions);25;0.53,0.51,0.5133333333333333,0.5025,0.504,0.505,0.5042857142857142,0.50125,0.5022222222222222,0.501,0.5027272727272727,0.5016666666666667,0.5023076923076923,0.5007142857142857,0.5013333333333333,0.5,0.5005882352941177,0.5016666666666666,0.5010526315789473,0.501,0.5009523809523809,0.5013636363636363,0.5017391304347826,0.5016666666666666,0.5008
wDFClassifierTest;San Francisco cab (Directed Regions);25;1.0,0.875,0.8333333333333333,0.795,0.752,0.7216666666666667,0.7171428571428571,0.70375,0.6955555555555556,0.6759999999999999,0.6590909090909091,0.6433333333333333,0.6307692307692307,0.6142857142857143,0.5986666666666667,0.586875,0.571764705882353,0.5633333333333334,0.5521052631578948,0.5425,0.5328571428571428,0.5263636363636364,0.52,0.5154166666666666,0.512
H_MSM_StopMove_AngleClassifierTest;San Francisco cab (Directed Regions);25;0.12,0.14,0.16,0.1625,0.168,0.175,0.17285714285714285,0.17875,0.18666666666666668,0.187,0.19454545454545452,0.2016666666666667,0.20692307692307693,0.21285714285714286,0.218,0.218125,0.22588235294117648,0.23277777777777778,0.23421052631578945,0.24150000000000002,0.2519047619047619,0.2595454545454545,0.2747826086956522,0.28833333333333333,0.3032
EDRClassifierTest;San Francisco cab (Directed Regions);25;0.66,0.59,0.5833333333333333,0.5525,0.5760000000000001,0.5616666666666666,0.5514285714285714,0.54375,0.5422222222222222,0.54,0.5281818181818182,0.5258333333333334,0.5269230769230769,0.5257142857142857,0.524,0.525625,0.5241176470588236,0.523888888888889,0.5278947368421053,0.529,0.5233333333333333,0.5231818181818182,0.5252173913043479,0.5220833333333333,0.5188
H_MSM_StopMove_EllipsesClassifierTest;San Francisco cab (Directed Regions);25;1.0,1.0,0.9866666666666667,0.9775,0.972,0.9616666666666667,0.9585714285714286,0.94625,0.9377777777777777,0.929,0.92,0.9116666666666667,0.9030769230769231,0.89,0.8766666666666667,0.865,0.8541176470588234,0.8411111111111111,0.8263157894736842,0.813,0.7957142857142857,0.7836363636363636,0.7691304347826088,0.75,0.7336
MSMClassifierTest;San Francisco cab (Directed Regions);25;1.0,0.75,0.6833333333333332,0.615,0.5920000000000001,0.58,0.5671428571428572,0.565,0.5577777777777778,0.544,0.5418181818181818,0.53,0.5230769230769231,0.525,0.524,0.519375,0.5188235294117647,0.5194444444444444,0.5189473684210526,0.5185,0.5157142857142857,0.5145454545454545,0.5160869565217392,0.5158333333333334,0.5116
