dataset;stop-semantic;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;cross-validation;0.45318181818181824;0.6282539682539683;0.2708680792891319;0.375572505605876;0.8448644338118022;0.15513556618819777;0.3717460317460317
San Francisco cab (Directed Regions);STOP_REGION;CVTIClassifierTest;cross-validation;0.21681818181818185;0.55;0.019090909090909092;0.033566433566433566;0.9532034632034632;0.046796536796536815;0.45
San Francisco cab (Directed Regions);STOP_REGION;DTWaClassifierTest;holdout;0.8059701492537313;0.8484848484848485;0.875;0.8615384615384615;0.8571428571428571;0.1428571428571429;0.15151515151515152
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_PointsClassifierTest;cross-validation;0.8381818181818183;0.959187675070028;0.9402825244930508;0.9484924686456168;0.9609022556390977;0.03909774436090228;0.040812324929971985
San Francisco cab (Directed Regions);STOP_REGION;LiuSchneiderClassifierTest;holdout;0.029850746268656716;0.08333333333333333;0.0625;0.07142857142857144;0.37142857142857144;0.6285714285714286;0.9166666666666666
San Francisco cab (Directed Regions);STOP_REGION;DTWaClassifierTest;cross-validation;0.8277272727272728;0.9023232323232323;0.9106652996126681;0.9057247740174569;0.90319662793347;0.09680337206652997;0.09767676767676767
San Francisco cab (Directed Regions);STOP_REGION;wDFClassifierTest;holdout;0.8507462686567164;0.8823529411764706;0.9375;0.9090909090909091;0.8857142857142857;0.11428571428571432;0.11764705882352941
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;holdout;0.6119402985074627;0.6578947368421053;0.78125;0.7142857142857143;0.6285714285714286;0.37142857142857144;0.34210526315789475
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_AngleClassifierTest;cross-validation;0.08136363636363636;0.0;0.0;0.0;0.585023923444976;0.414976076555024;1.0
San Francisco cab (Directed Regions);STOP_REGION;DTWClassifierTest;cross-validation;0.37363636363636366;0.8;0.0;0.0;0.980952380952381;0.019047619047619046;0.2
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;holdout;0.5223880597014925;0.8125;0.8125;0.8125;0.8285714285714286;0.17142857142857137;0.1875
San Francisco cab (Directed Regions);STOP_REGION;MSMClassifierTest;cross-validation;0.5227272727272727;0.6104273504273504;0.41609022556390973;0.491347926267281;0.7385440874914558;0.2614559125085441;0.3895726495726496
San Francisco cab (Directed Regions);STOP_REGION;LCSSClassifierTest;holdout;0.582089552238806;0.6578947368421053;0.78125;0.7142857142857143;0.6285714285714286;0.37142857142857144;0.34210526315789475
San Francisco cab (Directed Regions);STOP_REGION;HCSSClassifierTest;holdout;0.9402985074626866;0.9142857142857143;1.0;0.955223880597015;0.9142857142857143;0.08571428571428574;0.08571428571428572
San Francisco cab (Directed Regions);STOP_REGION;SWALEClassifierTest;holdout;0.44776119402985076;0.46153846153846156;0.9375;0.6185567010309277;0.0;1.0;0.5384615384615384
San Francisco cab (Directed Regions);STOP_REGION;EDRClassifierTest;holdout;0.582089552238806;0.6578947368421053;0.78125;0.7142857142857143;0.6285714285714286;0.37142857142857144;0.34210526315789475
San Francisco cab (Directed Regions);STOP_REGION;HCSSClassifierTest;cross-validation;0.8627272727272727;0.9367149758454106;0.9603326498063339;0.9465247826223436;0.9341991341991343;0.06580086580086582;0.06328502415458936
San Francisco cab (Directed Regions);STOP_REGION;MSTPClassifierTest;holdout;0.47761194029850745;0.47761194029850745;1.0;0.6464646464646464;0.0;1.0;0.5223880597014925
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;cross-validation;0.5809090909090909;0.881904761904762;0.7422328548644339;0.7975585293125905;0.8805650489861016;0.11943495101389838;0.1180952380952381
San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_AngleClassifierTest;holdout;0.05970149253731343;0.0;0.0;0.0;0.6285714285714286;0.37142857142857144;1.0
San Francisco cab (Directed Regions);STOP_REGION;DTWClassifierTest;holdout;0.6417910447761194;0.7045454545454546;0.96875;0.8157894736842106;0.6285714285714286;0.37142857142857144;0.29545454545454547
San Francisco cab (Directed Regions);STOP_REGION;MSTPClassifierTest;cross-validation;0.21681818181818185;1.0;0.0;0.0;1.0;0.0;0.0
San Francisco cab (Directed Regions);STOP_REGION;EDRClassifierTest;cross-validation;0.41500000000000004;0.45999999999999996;0.10473684210526316;0.14440279860069966;0.9013283208020051;0.098671679197995;0.54
