measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,"Geolife University ",10,"0.8100995118343963,0.7738354820859472,0.7072439522222661,0.6610154097953821,0.6515282167894708,0.6354800964140163,0.6244089271888509,0.6363069221872767,0.6491353842103467,0.6541225255008988"
LCSSClassifierTest,"Geolife University ",10,"0.8100995118343963,0.7735108504163231,0.7068009313752867,0.6605005239348486,0.6508616263757981,0.6348727920139714,0.6210715910032333,0.6332626996126707,0.6455176319783382,0.641703296195061"
SMSMTemporalDurationClassifierTest,"Geolife University ",10,"0.7865484196713607,0.763067377482307,0.77358556542174,0.7412627745765,0.6638626011666653,0.6413999606714289,0.6269389829160156,0.6091555454197741,0.5949379769840935,0.5924387807514401"
SMSMEllipsesWithDistanceClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.9562091503267973,0.9526143790849674,0.9545712729536259,0.9508603342522779,0.9351096207713855,0.9186040129441788,0.9098978693364913,0.8979920529630958,0.8927221879693221"
SMSMEllipsesClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.9566993464052287,0.9526143790849674,0.9545712729536259,0.9508603342522779,0.9351096207713855,0.9186040129441788,0.9098978693364913,0.8979920529630958,0.8927221879693221"
SMSMEllipsesWithTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.9562091503267973,0.9526143790849674,0.9545712729536259,0.9508603342522779,0.9351096207713855,0.9186040129441788,0.9098978693364913,0.8979920529630958,0.8927221879693221"
MSMClassifierTest,"Geolife University ",10,"0.7278878659935095,0.6706634947703776,0.5924196066378085,0.5413079302672317,0.53534266906186,0.5179975024826161,0.5124164558234471,0.5248612608317321,0.5368167653400517,0.5415861975000468"
SMSMEllipsesClassifierTest,"Geolife University ",10,"1.0,0.9256968873116181,0.8812901501513484,0.8600181637374048,0.8243259413258516,0.8138624384574747,0.8046385227544225,0.780392341015857,0.7778280218686223,0.7725525226402759"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.7508169934640523,0.6502489884842826,0.6346469706763824,0.6152620143537099,0.6014437796330894,0.5949972837468285,0.5981744391837394,0.5874214874696518,0.5831224564731973,0.5868550707816712"
SMSMDistanceClassifierTest,"Geolife University ",10,"0.8170832278433799,0.6368581996601345,0.6371076442807887,0.6230560332419892,0.5802425276087325,0.5773950778414442,0.5852620662885196,0.5759810855602414,0.5850113468896782,0.5956407935341926"
SMSMEllipsesWithTemporalDurationClassifierTest,"Geolife University ",10,"0.8190288084684824,0.788097808105073,0.7752293166175722,0.7713898071966585,0.7697097542585206,0.7570389024386597,0.7514104518260437,0.7503389660938555,0.7465730140833875,0.7422167348348069"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.6083951653675073,0.4826438065349204,0.46514990643129733,0.4525326316659424,0.44527116648471277,0.4198529159688416,0.40934611163203266,0.38789409531634766,0.3662962751469187,0.3660291695586713"
SMSMEllipsesWithDistanceClassifierTest,"Geolife University ",10,"0.8170832278433799,0.6368581996601345,0.6371076442807887,0.6230560332419892,0.5802425276087325,0.5773950778414442,0.5852620662885196,0.5759810855602414,0.5850113468896782,0.5956407935341926"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.7508169934640523,0.6492746857196985,0.6335183797051103,0.6139251159579879,0.5921561243645587,0.5714032568719183,0.5652715956403718,0.5540176817242177,0.5447220929987306,0.5414008273510441"
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,"Geolife University ",10,"0.8170832278433799,0.6368581996601345,0.6371076442807887,0.6230560332419892,0.5802425276087325,0.5773950778414442,0.5852620662885196,0.5759810855602414,0.5850113468896782,0.5956407935341926"
SMSMTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8018012760659818,0.778250466853408,0.7230571955917977,0.7009654001955634,0.6765504904026735,0.6364380482934738,0.5974805753889866,0.5996326370990125,0.6026926637328234"
SMSMDistanceClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.7987200435729848,0.7190765933412991,0.6737362582950818,0.6374372666946039,0.6253504784921906,0.6156963011391425,0.6100841398982718,0.6012866101643958,0.5967596204256947"
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8150676937441643,0.8040557889822596,0.7341721971479757,0.686404265462611,0.6539603235682986,0.6302147514099283,0.594524258666015,0.6005288904156841,0.6046679122993232"
