measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
SMSMEllipsesClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.7979964207905385,0.7830776249893897,0.7115848204083498,0.6800595238095238,0.6891223155929037,0.6791178357467661,0.6596497367516347,0.6086035615959215,0.5913292064229668"
SMSMEllipsesClassifierTest,"Geolife University ",10,"1.0,0.8540732206100478,0.7532842269154074,0.7179138495756803,0.660141011867735,0.5868552302497834,0.5380977799523741,0.47932085252314377,0.44796781512017364,0.42391416948412686"
