measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,"Geolife University ",10,"0.795945657353533,0.6978768404114766,0.6973442520234117,0.679705928002093,0.6788891569342349,0.6773010677385094,0.6713240902450169,0.6641565480017422,0.6587135905798288,0.6557704366439217"
LCSSClassifierTest,"Geolife University ",10,"0.7874278840470272,0.6823352815259713,0.6825501501452792,0.6636694471466879,0.6588232237352125,0.6396660578795735,0.6339854184505581,0.6214165751515607,0.6093492612435494,0.5904421542076965"
DTWaClassifierTest,"Geolife University ",10,"1.0,0.9240343068512082,0.8041905121071151,0.7223998603088009,0.6579299281922097,0.6012009874548805,0.5939608527404405,0.5811624870250071,0.5806482970930279,0.5823054631467852"
SMSMTemporalDurationClassifierTest,"Geolife University ",10,"1.0,0.9285992724020893,0.8658680299392257,0.8447502396978348,0.8230554140799146,0.7910607595049061,0.7770551864978308,0.756525035175558,0.7485685392930372,0.7326753578830646"
MSTPClassifierTest,"Geolife University ",10,"1.0,0.7734101579172001,0.3730345562378835,0.3396252580308099,0.33227563738903915,0.30046899153255,0.3048020204858954,0.3147544475167949,0.3016268879215267,0.3199585099436711"
MSMClassifierTest,"Geolife University ",10,"0.7134488555570512,0.6033308736273093,0.6063756813128638,0.5897237297279214,0.581567452436703,0.5748122030664251,0.56933860780387,0.559963178307213,0.5529468809141411,0.5485694872708669"
wDFClassifierTest,"Geolife University ",10,"0.8652180270686572,0.4681914229997997,0.48852168979548277,0.49985380873096213,0.5396796614477858,0.5529436832813894,0.5524787855287683,0.5448304468150962,0.5644936824977677,0.5657005312859429"
SMSMEllipsesClassifierTest,"Geolife University ",10,"1.0,0.9241851106639839,0.8592351429565964,0.8361478520269792,0.8042101064886483,0.7855287311154832,0.7716129736747344,0.7490307031947656,0.7404286669321771,0.7295563486928706"
SMSMDistanceClassifierTest,"Geolife University ",10,"1.0,0.9078775684409487,0.8306442396450129,0.7937628476377633,0.7574750373472972,0.7085949134553543,0.695091139352596,0.6755001341589639,0.6757547364747988,0.665244347754928"
SMSMEllipsesWithTemporalDurationClassifierTest,"Geolife University ",10,"1.0,0.9281051968375912,0.8688239765747497,0.8460190801841364,0.8156887483268968,0.7941926172710054,0.7769073544031023,0.7552527845665729,0.7488539462835619,0.7308579771610744"
SMSMEllipsesWithDistanceClassifierTest,"Geolife University ",10,"1.0,0.9216106741458855,0.8520367221280092,0.8303744695829981,0.7989662797873761,0.7752347016632536,0.7627593837630376,0.7345888958370155,0.7281192841607613,0.7162574818912619"
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,"Geolife University ",10,"1.0,0.924145885413491,0.8643921583929317,0.8422147817930191,0.8110317570474891,0.7907645479983836,0.7748818066190939,0.7540418257099311,0.7480044466008079,0.7306301398501658"
CVTIClassifierTest,"Geolife University ",10,"1.0,0.847076397780623,0.5682068741955837,0.4015262390650851,0.3587927142783738,0.33479296890688265,0.32479337446749695,0.3226099731978852,0.31747413411084363,0.32108521750425656"
