measure,dataset,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
CVTIClassifierTest,Geolife University,1.0,1.0,0.814928080993765,0.664804610385394,0.6293061841798363,0.5524556395463943,0.4112488203778489,0.3584271017290566,0.3301386167031039,0.33032019352893754,0.3256026775558006
CVTIClassifierTest,San Francisco cab (Directed Regions),1.0,0.9614651416122004,0.6222586726998491,0.617324203330791,0.58008895809964,0.5242098723086387,0.543213066179477,0.5210125711636067,0.4304124266972564,0.3892654944165821,0.39065230297253906
DTWaClassifierTest,Geolife University,1.0,1.0,0.9122864859408769,0.8592837005556526,0.856123847731361,0.824056673844229,0.7552198060003849,0.7119729856757292,0.6688194126400208,0.6470083887728123,0.6329938299097808
DTWaClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.7947284469343293,0.7818521347933113,0.7106044282514871,0.6800595238095238,0.6891223155929037,0.6791178357467661,0.6596497367516347,0.6086035615959215,0.5913292064229668
EDRClassifierTest,Geolife University,1.0,1.0,0.9233770298559032,0.7976289179533038,0.7153488475788127,0.6508407424685391,0.5970247448804092,0.5913113406928893,0.576797516441224,0.5766529677689842,0.5787299588403458
EDRClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.7917872704637411,0.7780133265427382,0.7158031510972687,0.6814331501831501,0.6886209786945081,0.678643779452415,0.6580014797638513,0.5962325538418585,0.5735593375123689
LCSSClassifierTest,Geolife University,1.0,0.7874278840470272,0.6823352815259713,0.6825501501452792,0.6636694471466879,0.6588232237352125,0.6396660578795735,0.6339854184505581,0.6214165751515607,0.6093492612435494,0.5904421542076965
LCSSClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.6277057020684472,0.5998689750462747,0.5673723562323383,0.5299808815658368,0.5323916382696833,0.5235468509162392,0.4593041909346686,0.4084884568768895,0.3942742061620587
MSMClassifierTest,Geolife University,1.0,0.7134488555570512,0.6033308736273093,0.6063756813128638,0.5897237297279214,0.581567452436703,0.5748122030664251,0.56933860780387,0.559963178307213,0.5529468809141411,0.5485694872708669
MSMClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.6286269050484737,0.6007351295888997,0.568059170040102,0.5304456251242692,0.5328153002781794,0.523952433404585,0.4595461688856249,0.40855652099005474,0.3944781189030054
MSTPClassifierTest,Geolife University,1.0,1.0,0.811150932740696,0.6563060268159888,0.6254211174052511,0.5494653971793815,0.40612391695266215,0.35466522870789347,0.32851983888036,0.3290487171299824,0.3243025466034278
MSTPClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.6237594268476622,0.6229881579269356,0.5881658431830367,0.5228785801318523,0.5440649849111828,0.5307878910108185,0.43358367352175403,0.3887775396015031,0.3922370515065636
SMSMDistanceClassifierTest,Geolife University,1.0,1.0,0.9078775684409487,0.8306442396450129,0.7937628476377633,0.7574750373472972,0.7085949134553543,0.695091139352596,0.6755001341589639,0.6757547364747988,0.665244347754928
SMSMDistanceClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.7902349828820416,0.7685945590357355,0.708596632126044,0.6757831629155159,0.684274858647696,0.6733682513667845,0.6548610151622208,0.5962825125336856,0.573312037128102
SMSMEllipsesClassifierTest,Geolife University,1.0,1.0,0.9241851106639839,0.8592351429565964,0.8361478520269792,0.8042101064886483,0.7855287311154832,0.7716129736747344,0.7490307031947656,0.7404286669321771,0.7295563486928706
SMSMEllipsesClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.9154645191409897,0.8353040954143895,0.7565787405866626,0.7070720793687921,0.6647840221050929,0.6525189861814021,0.6464073236171988,0.6381805960726842,0.6247934139344073
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,Geolife University,1.0,1.0,0.924145885413491,0.8643921583929317,0.8422147817930191,0.8110317570474891,0.7907645479983836,0.7748818066190939,0.7540418257099311,0.7480044466008079,0.7306301398501658
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.7828314659197012,0.7361917494270436,0.6866617043087632,0.6822637225967676,0.6730551839548379,0.66475753205994,0.6537122420009245,0.6183614692368214,0.5793210994359151
SMSMEllipsesWithDistanceClassifierTest,Geolife University,1.0,1.0,0.9216106741458855,0.8520367221280092,0.8303744695829981,0.7989662797873761,0.7752347016632536,0.7627593837630376,0.7345888958370155,0.7281192841607613,0.7162574818912619
SMSMEllipsesWithDistanceClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.8996148459383754,0.8114420505964623,0.7297669902455006,0.6900791562340005,0.6585208150678921,0.6453566768132104,0.639647852151845,0.6301768983156656,0.6196834299641293
SMSMEllipsesWithTemporalDurationClassifierTest,Geolife University,1.0,1.0,0.9281051968375912,0.8688239765747497,0.8460190801841364,0.8156887483268968,0.7941926172710054,0.7769073544031023,0.7552527845665729,0.7488539462835619,0.7308579771610744
SMSMEllipsesWithTemporalDurationClassifierTest,San Francisco cab (Directed Regions),1.0,1.0,0.8996148459383754,0.8114420505964623,0.7297669902455006,0.6900791562340005,0.6585208150678921,0.6453566768132104,0.639647852151845,0.6301768983156656,0.6196834299641293
SMSMTemporalDurationClassifierTest,Geolife University,1.0,1.0,0.9285992724020893,0.8658680299392257,0.8447502396978348,0.8230554140799146,0.7910607595049061,0.7770551864978308,0.756525035175558,0.7485685392930372,0.7326753578830646
