2000,8,21,18,3,ALBERTO,40.0,-46.7,80,978
2000,8,22,0,3,ALBERTO,41.2,-45.9,75,979
2000,8,22,6,3,ALBERTO,42.6,-45.4,75,981
2000,8,22,12,3,ALBERTO,44.0,-44.0,70,983
2000,8,22,18,3,ALBERTO,46.1,-42.1,65,985
2000,8,23,0,3,ALBERTO,48.3,-39.5,65,987
2000,8,23,6,3,ALBERTO,50.7,-36.8,55,994
2000,8,23,12,3,ALBERTO,53.2,-35.4,45,997
2000,8,23,18,3,ALBERTO,57.0,-34.0,45,997
2000,8,24,0,3,ALBERTO,59.5,-30.3,40,995
2000,8,24,6,3,ALBERTO,62.0,-25.5,35,992
2000,8,24,12,3,ALBERTO,65.5,-23.0,35,990
2000,8,24,18,3,ALBERTO,68.0,-20.0,30,992
2000,8,25,0,3,ALBERTO,69.0,-12.5,30,990
2000,8,25,6,3,ALBERTO,70.7,-4.9,30,994
2000,8,8,12,4,NOT_NAMED,28.2,-74.2,30,0
2000,8,8,18,4,NOT_NAMED,28.1,-75.1,30,0
2000,8,9,0,4,NOT_NAMED,28.0,-76.0,30,0
2000,8,9,6,4,NOT_NAMED,27.9,-76.8,30,0
2000,8,9,12,4,NOT_NAMED,27.9,-77.4,30,0
2000,8,9,18,4,NOT_NAMED,27.9,-77.9,30,0
2000,8,10,0,4,NOT_NAMED,28.0,-78.6,30,0
2000,8,10,6,4,NOT_NAMED,28.3,-79.3,30,0
2000,8,10,12,4,NOT_NAMED,28.7,-78.9,30,0
2000,8,10,18,4,NOT_NAMED,28.9,-78.3,25,0
2000,8,11,0,4,NOT_NAMED,29.2,-77.8,25,0
2000,8,11,6,4,NOT_NAMED,29.4,-77.2,25,0
2000,8,11,12,4,NOT_NAMED,29.6,-76.5,25,0
2000,8,13,18,5,BERYL,22.5,-93.5,30,1008
2000,8,14,0,5,BERYL,22.7,-93.8,30,1008
2000,8,14,6,5,BERYL,23.1,-94.6,35,1007
2000,8,14,12,5,BERYL,23.5,-95.4,40,1009
2000,8,14,18,5,BERYL,23.9,-96.3,45,1009
2000,8,15,0,5,BERYL,24.1,-97.0,45,1007
2000,8,15,6,5,BERYL,24.5,-97.7,45,1009
2000,8,15,12,5,BERYL,24.9,-98.6,30,1010
2000,8,15,18,5,BERYL,25.2,-99.8,25,1012
2000,8,17,12,6,CHRIS,14.2,-51.9,25,1009
2000,8,17,18,6,CHRIS,14.7,-52.8,25,1009
2000,8,18,0,6,CHRIS,15.2,-53.4,25,1009
2000,8,18,6,6,CHRIS,15.6,-54.1,30,1009
2000,8,18,12,6,CHRIS,16.2,-55.4,35,1008
2000,8,18,18,6,CHRIS,16.8,-56.5,30,1011
2000,8,19,0,6,CHRIS,17.3,-57.7,25,1012
2000,8,19,6,6,CHRIS,17.8,-59.0,25,1012
2000,8,19,12,6,CHRIS,18.3,-60.4,20,1013
2000,8,19,18,7,DEBBY,12.0,-44.5,30,1010
2000,8,20,0,7,DEBBY,12.6,-45.3,30,1010
2000,8,20,6,7,DEBBY,13.3,-46.8,35,1009
2000,8,20,12,7,DEBBY,14.0,-48.8,40,1008
2000,8,20,18,7,DEBBY,14.7,-50.6,45,1007
2000,8,21,0,7,DEBBY,15.1,-52.1,55,1006
2000,8,21,6,7,DEBBY,15.4,-54.0,65,1005
2000,8,21,12,7,DEBBY,15.7,-56.3,75,1004
2000,8,21,18,7,DEBBY,16.1,-58.5,75,1004
2000,8,22,0,7,DEBBY,16.8,-60.1,70,995
2000,8,22,6,7,DEBBY,17.5,-61.7,65,993
2000,8,22,12,7,DEBBY,18.1,-63.5,65,994
2000,8,22,18,7,DEBBY,18.8,-65.4,65,995
2000,8,23,0,7,DEBBY,19.2,-66.7,65,995
2000,8,23,6,7,DEBBY,19.5,-68.1,65,995
2000,8,23,12,7,DEBBY,19.8,-69.7,60,1005
2000,8,23,18,7,DEBBY,20.0,-71.5,50,1009
2000,8,24,0,7,DEBBY,19.9,-73.3,40,1010
2000,8,24,6,7,DEBBY,19.6,-75.1,35,1011
2000,8,24,12,7,DEBBY,19.5,-77.0,30,1011
2000,9,1,12,8,ERNESTO,14.8,-45.2,25,1009
2000,9,1,18,8,ERNESTO,15.0,-47.0,30,1009
2000,9,2,0,8,ERNESTO,15.6,-48.3,30,1009
2000,9,2,6,8,ERNESTO,16.2,-49.5,35,1008
2000,9,2,12,8,ERNESTO,16.9,-50.8,35,1008
2000,9,2,18,8,ERNESTO,17.5,-52.1,35,1008
2000,9,3,0,8,ERNESTO,18.2,-53.6,35,1008
2000,9,3,6,8,ERNESTO,18.8,-55.0,35,1008
2000,9,3,12,8,ERNESTO,19.4,-56.6,35,1008
2000,9,3,18,8,ERNESTO,20.0,-58.0,30,1009
2000,9,8,18,9,NOT_NAMED,27.5,-93.5,25,0
2000,9,9,0,9,NOT_NAMED,28.5,-93.5,30,0
2000,9,9,6,9,NOT_NAMED,29.3,-93.8,25,0
2000,9,9,12,9,NOT_NAMED,30.0,-94.0,25,0
2000,9,10,18,10,FLORENCE,30.9,-70.9,30,1007
2000,9,11,0,10,FLORENCE,30.8,-71.3,30,1007
2000,9,11,6,10,FLORENCE,30.7,-71.8,30,1006
2000,9,11,12,10,FLORENCE,30.4,-72.2,45,1002
2000,9,11,18,10,FLORENCE,30.1,-72.6,65,998
2000,9,12,0,10,FLORENCE,30.1,-72.7,65,992
2000,9,12,6,10,FLORENCE,30.2,-72.8,60,993
2000,9,12,12,10,FLORENCE,30.3,-73.1,60,991
2000,9,12,18,10,FLORENCE,30.6,-73.3,65,987
2000,9,13,0,10,FLORENCE,30.8,-73.7,65,986
2000,9,13,6,10,FLORENCE,30.7,-74.0,65,986
2000,9,13,12,10,FLORENCE,30.7,-73.8,60,987
2000,9,13,18,10,FLORENCE,30.5,-73.7,55,989
2000,9,14,0,10,FLORENCE,30.2,-73.6,50,991
2000,9,14,6,10,FLORENCE,29.6,-73.6,45,993
2000,9,14,12,10,FLORENCE,29.5,-73.4,45,994
2000,9,14,18,10,FLORENCE,29.3,-73.1,45,995
2000,9,15,0,10,FLORENCE,29.2,-72.8,45,995
2000,9,15,6,10,FLORENCE,29.1,-72.4,45,996
2000,9,15,12,10,FLORENCE,29.8,-71.2,50,997
2000,9,15,18,10,FLORENCE,30.1,-69.7,60,997
2000,9,16,0,10,FLORENCE,30.8,-67.5,65,994
